-0.0563934258351212+1.43306132785565e-17i,-0.0303308583484939+5.95614440669174e-17i,0.0232129167483885+1.72676316268765e-17i,-0.0169413277069589+1.36314366352539e-17i,0.00852790536100195+4.79934358687422e-17i,0.0306956522108562+1.10551791389152e-17i,0.0784233242206615-3.61918945263449e-17i
0.0492373685387393-8.71941967370978e-17i,0.078330142721513-4.50644881535241e-17i,-0.146241104885131-4.82045766526348e-17i,-0.0464791708322224-3.27957826289289e-17i,-0.0703515446633798-2.72118495213061e-17i,-0.043841883926276-2.32198937568461e-17i,0.0151709960125392+7.80087197795817e-17i
-0.00802481562031918-1.15539550325965e-17i,-0.0192009580905956+5.69277412852015e-17i,-0.0235229329464722-3.44431371576829e-18i,-0.0139694082020521+1.19894268653007e-17i,0.0064218056910291+3.0106511264949e-17i,0.0437333965499881+5.93174206516149e-18i,0.0567247704581682-1.32082581504564e-17i
0.0431384918693804-2.68439707937866e-17i,-0.0391314372024-2.24285587691093e-17i,-0.0472376478739368-2.41983469117586e-17i,-0.0359676563401186-1.33499587117051e-17i,-0.0185251758702261-2.33742128921781e-17i,-0.0362950412918076-3.46300197742816e-17i,-0.0220465516105326+3.33007242490925e-17i
-0.0530584891534793+6.94287346863616e-17i,-0.156381387824652+9.59893858899861e-17i,0.0819903446359428-1.85098075572185e-17i,-0.0680877583196664+6.42195835573444e-17i,0.059125710137463-8.0817220516237e-18i,0.0401853638093649+1.359220444769e-17i,0.0256088807695562-9.1430440505542e-17i
-0.0339752081077408+2.10445525400149e-17i,-0.0308681101263125+7.7433397177004e-17i,-0.000125938601592442-2.91745484860615e-17i,-0.0187482871801646+2.44393237668586e-17i,0.0567740815526636+7.60012446227922e-18i,0.0420451627306988+5.73444739820597e-18i,0.054780014022317-3.06462245234262e-17i
-0.00718702336013763+1.36221741013832e-17i,-0.0509280921608723+8.49468652382349e-18i,0.0834908934440504+2.83915840647077e-17i,0.0556421982673651+6.59968588562022e-18i,-0.0840096622746362-7.5330862819309e-18i,0.00821059012716489+9.34366008194293e-18i,-0.0520773372847914-4.54154184007323e-17i
0.0192908518927306-1.55739829935203e-17i,0.023681773667521-3.4783446125424e-19i,-0.0962980003256239-6.48334940105326e-17i,0.0347022651714949+2.08512847949625e-17i,0.0491759044959835-1.43360017053046e-17i,0.0179973108675612+3.57798463372194e-18i,-0.00125732754935814+4.21720400829957e-17i
-0.0482382399981105+7.19434191736632e-17i,-0.13958506627628+9.64539681058001e-17i,0.0579330115971543-5.62090966513544e-17i,-0.0185284346901872+6.0019762869802e-17i,0.0765559832161286-1.34211357739103e-17i,-0.0357178008079031+1.66358145788956e-17i,0.00433713411625216-7.70158244754816e-17i
0.0238752371612439-3.15897186836663e-17i,0.00809847246879377-5.19491899932297e-17i,-0.057058861471043+7.05868421696815e-17i,0.0313002974748985-3.34019938160399e-17i,0.0449760079926217+5.58313127288976e-17i,0.0429149479536101-4.55021912039446e-18i,0.00957797936230897+3.98753701610258e-17i
-0.0389113478503362+5.42116572991982e-18i,-0.0713863149490682+1.45624200112152e-17i,0.0355803318807976+4.96153465757416e-17i,-0.00984440291076319-2.38625125128627e-18i,-0.0363219677240801+4.98038248255711e-17i,0.0460845769779338+6.00938030586779e-18i,0.0188512013758069-4.19889916882615e-17i
-0.011071512049067+4.23089304868159e-17i,-0.00251431473643732+7.3679495127226e-17i,0.0108488975199723-9.87262834232121e-17i,-0.173318801278352+5.59211259109116e-17i,0.0833091337909966-8.00083741603439e-17i,0.0271724454335231-2.62445205676392e-18i,-0.0465681626030553+4.5864958380374e-18i
-0.0287016318350544-1.05667534919517e-17i,0.0564206932315477-4.82696307951288e-18i,-0.0274729065882276+2.38308857711353e-18i,-0.0658533524310541+4.26335173750749e-18i,0.00983717014794575-2.00908106907197e-18i,0.12194094861481-7.66653188348372e-18i,-0.00589912030047261+4.02725497927139e-17i
-0.0100520507749081-1.39810487286528e-17i,0.00936387054288135+2.30039895796384e-17i,-0.0165909667631659-6.46821508419178e-18i,-0.0421206386169406+6.98346323054694e-18i,0.0207568915839091+2.44209863044459e-17i,-0.0590794848376047-1.31431572849256e-18i,0.0625333566512145+1.18900896696837e-19i
-0.0676019089719308+7.8217501861297e-17i,0.00128188592628027+4.21495639377524e-17i,0.12641012462142+1.16880882163251e-17i,0.0232211745838607+3.79618342372679e-17i,0.0307267555204606-1.28257454462308e-17i,-0.0131683016194817+1.68793055382561e-17i,0.00531983283350789-7.1984526889759e-17i
0.0503909081992237-6.47523906180723e-17i,0.00896904815275198-9.40547735387566e-18i,-0.122662506770387-4.12157909855266e-17i,-0.00676920870785367-1.43875445280656e-17i,-0.0595453356886288-1.03654253481011e-17i,-0.00995679265284591-1.30488896296265e-17i,0.0331747551852101+3.04135717225324e-17i
0.026705079366138-1.72189885808421e-17i,0.0790304103950009-9.21642062000432e-17i,-0.0207027361414634+7.2442620950529e-17i,0.0211799829415951-4.0939777145908e-17i,0.0571511762281604+3.2400098661026e-17i,0.0303442983116967+1.93054965054091e-17i,-0.045049707265065+5.15007727885236e-17i
-0.0789317123620634+5.25327515308783e-17i,-0.0959932898817823+1.12608913310168e-16i,0.108688336193885+1.53414051729228e-18i,0.0824242947686753+5.51263368567778e-17i,-0.030714660097065+2.49601918579046e-17i,-0.0121019636973374+2.56360479501768e-17i,0.0744326304002911-1.0901802185241e-16i
-0.00435960013128071+1.9577146617375e-17i,-0.00187074284530413+1.02476314827719e-17i,0.0300616123291952+1.42838302375213e-17i,-0.0167596303572695+1.41046073809097e-18i,0.0385472141303264+7.42542587768794e-18i,-0.0315408618270604-5.16378936822061e-18i,0.017217693540193-1.56890223420652e-17i
