0.0506115910566312-1.86438879726148e-17i,0.00962368034592458-3.69470601681631e-18i,-0.077210674674697-3.41866171936754e-18i,-0.0397339405252154+6.36467664338492e-19i,-0.0368070338371873+8.87370423028873e-18i,0.0334374195361939-2.3034469601734e-17i,-0.0575206874100924+1.28897368807476e-17i
-0.042217229466469+2.17682508268054e-18i,-0.0206679739759751-5.04075061475726e-18i,0.076016541321657+7.3935907373146e-18i,0.047497881026539+2.78787559710823e-18i,0.0485238133984119-6.66201076572728e-18i,0.000805544179921954+1.42140358744049e-17i,0.00608568020970141+8.42032936857251e-18i
-0.0370874730055308-2.69917381289411e-17i,-0.0503168244655085+1.11733286754544e-17i,0.0387865188572664+2.3939542212561e-17i,0.0283349130952055-1.33788890856028e-17i,0.0132127006094555+2.65267023714155e-17i,-0.0341767929044391-2.08185397300225e-17i,0.0493091577791572-1.15221626231348e-17i
0.0817188333501338+8.93116921395637e-18i,0.0349011889154266-6.16487527643024e-18i,-0.120793310932718-2.66456380632011e-17i,-0.0665079057195741-1.18205383495951e-17i,-0.0263772315574859-1.14179312960435e-17i,0.0368443787362397-2.3643763020718e-17i,-0.0672862176715023+2.57554551031957e-17i
-0.0169156488322829-4.31069339307452e-18i,-0.0222503720956959+4.94730631054418e-18i,-0.00558278929731514+1.08122164814782e-17i,0.043726443402361+4.01606141352651e-19i,0.0188040194119016-3.30182468262388e-18i,0.000150445133924599+7.24194397802142e-18i,-0.0110734045230922-6.16264447132916e-18i
-0.034977730243769+1.33700975419742e-18i,0.00468893944094217-5.42669577113816e-18i,-0.00521635870286582-1.20304154338327e-17i,0.0181394070397036+3.57361637336651e-18i,0.0088737453028615-6.29823354694187e-19i,-0.0237355882551586+3.6497033339735e-18i,-0.0170415321219226+1.1716630298842e-17i
-0.0302548096594654-1.10276775829359e-17i,0.00669395177944164-6.9256786800739e-18i,0.0407142661249017+6.47402478716706e-18i,-0.00883297639840216+2.57355845499825e-18i,0.0405239456270272-3.0341437597371e-19i,-0.0124246969804974-2.75494149403037e-18i,-0.00760936403534167+1.44130923509115e-17i
0.021660525855234+8.74401625798121e-19i,0.0125193336480842-9.66299041080523e-19i,0.00373212463844376+4.89588715606899e-18i,-0.0219777957162135-1.7215382672053e-17i,-0.0230416891109826-1.67376983661839e-17i,-0.0158573922134756-5.35286205517527e-18i,-0.0360799867805605+7.43987623896387e-18i
-0.0547613946841814+1.70263850482591e-18i,-0.023311551411115+8.82153313405307e-18i,0.0607368391003684+3.36097410240071e-18i,-0.0309782235125698-1.80118925763389e-17i,0.0553922620720089-8.65159571541729e-18i,-0.0124870710570363-2.15751442866568e-17i,0.0182805540129463+1.88184621362045e-17i
-0.0578878607898076-5.76999852699312e-18i,-0.0411587405696091-7.01411832669676e-18i,0.00898847480818429+1.95148625567053e-18i,0.0183402821300505-6.73515736081192e-18i,0.0191106526049631+2.26853854307292e-18i,-0.0518646458237461-1.19322953160029e-17i,0.0135491425698317-3.70193506024293e-18i
0.0302956362725957+9.19803518275437e-18i,-0.014645994321445-4.70016539231904e-18i,-0.0103642301533432-6.03280532516485e-18i,-0.0247421174411694-1.44032888803312e-18i,-0.0320591764804895-9.82522287685469e-18i,0.0160009049564075-1.24849173545804e-17i,-0.0473079363750181+9.52581599855682e-19i
0.0199372522786017+1.47266231358156e-17i,-0.0262306520046756-1.44110242054797e-18i,-0.0496416580616884-1.40833616921104e-17i,-0.0328076382648628+6.25661024083078e-18i,-0.0448051009406289-1.36032545378978e-17i,0.0190534731546748-6.14648820851843e-18i,-0.0761113790336816+2.45838694066831e-18i
-0.0710262997629884-1.14955397605105e-18i,0.00478261845916592+3.64929997932763e-18i,0.116910676759859+1.06625500073689e-17i,-0.0685514241685949-2.37470309560249e-17i,0.0498518963693629-1.00238066243198e-17i,-0.00965880040527799+6.78323585559542e-18i,0.087290682534163+1.34383157736769e-17i
