-0.00403973140909451-9.14998341781352e-18i,-0.0962044828761032-1.48312923661642e-18i,-0.0241609628638513+1.5565827384086e-17i,-0.0754030129252176-2.14859853696148e-17i,0.0538334019441415+3.48155476078409e-17i,0.0851569284447144+1.9125923833067e-17i,0.0152189076867156-3.40912005109712e-17i
0.00200494312744904-1.8333283142093e-17i,0.0165698129623229-4.57594010340709e-17i,0.0182633091958635-3.18424131627988e-18i,-0.0987967376046968-2.4169869645969e-17i,0.0388062666069086-1.21617594077809e-17i,0.146375818742515-8.10792597987046e-18i,-0.0459464698097541+5.0410480233432e-17i
0.00701150856593918-3.81065891771123e-18i,-0.0897553963108577+1.51740604167066e-17i,-0.0482560233743477-2.22463255471286e-17i,0.0317992878526672+2.79742137873233e-17i,-0.0113530223429137+1.54790399540885e-17i,-0.0901909971151349-7.66331617471161e-19i,0.0030833574539224-1.24346731682854e-17i
-0.0451099694218745+3.18215830707991e-17i,-0.026818822142126-1.12418595289787e-17i,-0.088313559100827-5.03658786585453e-17i,0.0571813125182183+2.82299022296023e-17i,-0.12842080377184-8.14054160190826e-17i,-0.000900513342278382-2.22057879042372e-17i,0.0837733596296078-1.15325899882165e-17i
0.0148359643949262-5.19012610318403e-18i,-0.055693588166452+3.31239338063489e-18i,-0.0163256356886715+1.88137443545009e-17i,0.0249066064947973-2.40008957872093e-17i,0.046185565471337+2.04234604755924e-17i,-0.0858289345979306-1.49399302022092e-18i,-0.0485685935687436-1.4404396464109e-17i
-0.0114848659419254-7.22939625861064e-18i,0.116207518924925-3.69591925969427e-17i,0.10208310158656-2.01181276235073e-17i,-0.0914028244835071-1.3968812945798e-17i,-0.11533601404726-6.60399951308432e-17i,0.00740921783602182-2.4454045373073e-17i,-0.0796919109277341+7.01643730252391e-17i
-0.0035942107814801+3.19622229420987e-18i,0.134909788221274-2.11875372003366e-17i,0.0393405391024205+2.8683760948829e-17i,-0.00213659153899549-3.05064947127707e-17i,0.0700951568085329-4.64669354553802e-18i,-0.0244098901779195+1.18034388101166e-17i,-0.0355159075689652+2.29830808911111e-17i
-0.0140509987373735+1.06547886618165e-17i,0.049115237761601+1.83739586581444e-17i,0.0449585415418361-1.81476973932422e-17i,0.00924116278506779+2.68857494095041e-17i,-0.11307408035613-2.20109861514516e-17i,0.0393532651561491-6.21198660434247e-18i,0.0239357194060396-7.04587177083683e-19i
0.013558628637013-6.16523782733559e-18i,-0.0183547848115245-6.31736141734186e-18i,0.00126139455409951+2.29552223146866e-17i,-0.0237522799102816-6.18084585904053e-18i,0.0504367849916147+1.42406180324928e-17i,0.0348328016045341+6.71986955437029e-18i,0.0248088845647867-1.75737470381629e-17i
-0.00619530391332646+1.32651111100061e-17i,0.0379043882503309-1.87918973164892e-17i,-0.0462676724127063-2.61611389628248e-17i,0.00523707601019442+2.80313996151931e-18i,0.016821187641293-2.3839236150247e-17i,-0.0119464938583029-2.78750769997789e-17i,0.0314674291164444+2.60007757968422e-17i
