-0.0040407031954138+5.35793458966901e-18i,0.0429138524930114+2.40702630766663e-17i,-0.00828985426006319-3.41167050395946e-17i,-0.0736900806150918+1.4376679810698e-17i,-0.0255808938236456+1.81294402116159e-17i,-0.0359049311838989+3.08914597428953e-18i,-0.0476711313093579+1.31743286693869e-17i
-0.0230659545920493+3.37494707044755e-17i,0.0365023489590429-1.41336317719159e-18i,0.0252728648049328+4.21248945458069e-17i,0.0393040029602396+8.5634121126911e-18i,0.0677776405858567+5.43183278378455e-17i,-0.092668888058568+1.14754177559599e-17i,0.01368446634506+9.3560770327241e-18i
0.0308309793278533-2.88711334935977e-17i,-0.0823555960873616+2.12302135344103e-17i,0.0101039668235371-1.14360393714938e-17i,0.0390919442234871-1.47207403843544e-17i,0.0468640151112658-1.30484130875161e-17i,-0.0305748906525463-4.07082780184271e-17i,-0.0229171307869648+2.16091801438349e-17i
0.0162454363040306+1.02190733859322e-17i,-0.024149786775565+4.2432902693817e-17i,-0.0134527969331179-1.58617971552903e-17i,-0.0349152046915836-2.15384923091412e-17i,0.0516726456180505+3.24547188006193e-17i,-0.129927549440345-1.00902561470041e-17i,0.00721378439725168-2.12867926098267e-17i
-0.00579842997364318+1.43525576870863e-17i,0.0307059965653481-4.01154608831736e-18i,0.0237262801085352+3.70149486979929e-17i,0.0299517116235504-2.31595701421221e-17i,0.0081982254039013+5.99413821147187e-17i,0.0339819183303191-1.1899249515572e-17i,-0.042107911985306+3.87174935234185e-17i
0.00639846470419312-2.84654032941268e-18i,-0.0524580206384323+6.12283990155669e-18i,-0.0133310739565121-5.68756822773773e-17i,0.000576016145316332-1.21866585966043e-17i,0.0299379508795286+2.54695471368015e-17i,0.0149474072523713+1.48363882304747e-17i,0.128516920956286-3.00985704668436e-17i
-0.0141400284591783+9.41507508149184e-18i,0.0732367463275875-1.09886474920655e-17i,0.0123316924213178+5.72184606428446e-17i,-0.0061495715903363+1.15099713982861e-18i,-0.0156203198623663+1.61569174347852e-17i,-0.00589370946937448-2.96011231192582e-17i,-0.108175879283552+5.21284444256646e-17i
0.0233653509033821-1.88903433429262e-17i,-0.0476322965445432+1.60912229357732e-17i,-0.0698881138453537-1.17654498164463e-16i,-0.0880390101952398-2.75728915674202e-18i,-0.0412411901487112-3.44224617685529e-17i,-0.0152809243864361-1.69968974803502e-17i,0.00940900908340371-1.78920736521875e-17i
-0.0358305816299474+2.83545439620446e-17i,0.0773176115857378-3.79214360111437e-17i,0.0743778613133104+7.00865331473289e-17i,-0.00763985060848078-1.66858685051103e-17i,0.0326298355964322+2.17990455904412e-17i,-0.0047180793742078+2.1587479701284e-17i,0.0641263337064383+3.47429085798452e-17i
0.0116539827201221-1.16880900635113e-17i,-0.00674464557177246+9.94956890496115e-19i,0.0118301779751457-1.51326599466155e-18i,-0.0279522719513001+2.61579862919123e-18i,-0.0291563086262607-1.84372444238742e-17i,0.0630789197582991+3.08331719265993e-19i,0.00245351044998334+2.0762731308416e-18i
-0.00445770443007082+6.17242905597559e-18i,0.0270408756339363-2.45411158554147e-17i,0.0273768761779663+3.024534217113e-17i,-0.0274747452965265+2.38741241094322e-17i,-0.0117982934584665-1.61304519149619e-17i,0.0589753437172506+4.73400390890456e-18i,0.00951765935976098+3.34564811279551e-17i
0.00873023163159543+6.54631850994023e-18i,-0.0102832438348189+1.80279377798763e-17i,-0.0498048819951101-2.10395112463993e-17i,-0.013180263302494-6.07700645235685e-18i,0.00208655931619332+1.91691462644013e-17i,-0.0199289430945477-6.4485464367061e-18i,0.0335661866150035-4.33160786396311e-17i
0.000545792587780395+6.89363250638627e-18i,0.0101221425228453+2.5051568312245e-17i,-0.00226470775924836-1.47190725563892e-17i,-0.0486643411478581-7.58952498057806e-18i,0.0335828787027056+3.41973434980452e-17i,-0.0660473528060965+2.09659037192226e-17i,0.0477200199411302-2.88257661900992e-17i
0.00852403021348857-2.68332467094069e-18i,-0.00680728897794929+3.1479952567268e-17i,-0.0686907696267471-5.03172489132265e-17i,-0.0417254394134728-9.30229190738321e-18i,-0.037065639227049-2.38201478989765e-17i,-0.0295646208849703+1.80848264107274e-18i,0.0467000111725558-7.23939645524102e-17i
0.00415790664733107-5.80763288573721e-18i,0.0423413666948511+1.59573900606322e-17i,0.00770974478414818-1.50484458997008e-17i,-0.105381582983364+1.57434402902878e-17i,-0.0166065704226524-2.46570686482379e-17i,-0.0042997030540877+1.06075918412543e-17i,0.0185555261638887+1.28394012155973e-17i
0.00804955322593803+1.65906868290498e-18i,0.00404432621408737+2.04558837933221e-17i,0.0192939334325011-8.54626345305483e-18i,-0.00657960792691569-1.53244576437711e-17i,0.0348494233126385+6.12455394680344e-17i,-0.023343879494455+2.79914538691849e-17i,0.0451418010941193-1.63831419693724e-17i
0.0227475301977013+1.07078038922905e-17i,-0.0415434391332343+1.11559613809222e-17i,-0.00227241340932467-5.28988656907123e-17i,0.0220746408190023-1.46843058294916e-17i,0.0614901911453806+8.38926014314079e-17i,0.034653141864816+4.26476421368257e-17i,0.135873559147209-3.22673124417454e-17i
-0.0412293496929009+1.87906291328615e-17i,0.103046527778308-2.60600134573988e-17i,-0.0350309123818897+5.79147356987211e-18i,-0.0427251786746192+1.62911687145902e-17i,-0.0727884565904919-5.54100607610537e-17i,-0.073252800768842-2.3400549821181e-19i,-0.11084856587622+1.553583899886e-17i
-0.0126722017494004-2.8325177043989e-17i,-0.0399773853825873+2.49039805669514e-17i,-0.0179418205841199-6.13687569018349e-17i,-0.0616690283795234+3.69266787872122e-17i,-0.0513680054155652-5.88459774759122e-17i,-0.0804121041254082-3.34129512753543e-17i,-0.00329455660850164-5.05468769810061e-17i
-0.00111363162797304-2.99515737678833e-18i,-0.00877522142890677-5.18172394605177e-19i,0.024552256822497-3.29434414237385e-18i,-0.00772987267084916-2.03913350894394e-17i,-0.0163720527005694+1.86712753354584e-17i,0.0683840543737357+1.08595752583017e-17i,0.0211039106213517+4.08263788310857e-18i
-0.0141488002952484-6.26248677543806e-18i,-0.00327490882370753+1.10019899532075e-17i,-0.0072256348098575-1.63509062391704e-17i,0.0167349336418125+2.41489716933148e-17i,-0.0342902577224497+1.30689972934057e-17i,0.0246248542987748+7.1797537611758e-19i,-0.0592755523878466-6.25263394964617e-18i
0.00843310729383317+1.62819947006407e-17i,-0.0618354698397688-1.71100989660024e-17i,-0.0198600152291507+1.69347555395875e-17i,0.0574106643838362-5.49294806556799e-17i,0.0349587787988911-2.15966950085841e-17i,-0.0666143937182497-2.29140808540055e-17i,0.0959006955360499-5.22417806972819e-17i
0.0336956678065532-5.4722720736467e-17i,-0.0709210524726267+4.17502637737996e-17i,0.0047705854549319-7.65626591714021e-17i,-0.0517201944812416-6.28774745732673e-19i,-0.0114902857511174-2.0881239555544e-17i,0.0136748604213961+1.65188860122753e-17i,0.0797496197698007-5.72767387036644e-17i
-0.00995242129008022+2.41180770827218e-17i,0.0125738676514821-2.56056855951354e-17i,-0.0287192661687179+4.77130172440765e-17i,0.0787005266330591-3.99570896064696e-17i,-0.0148916896315748-2.0978255626017e-17i,0.0468659947777245+7.26350148384896e-18i,-0.0292313387697055-1.02879739315906e-18i
-0.00626676414692475+2.90933286713516e-17i,0.0573095457250025+3.37080902904287e-17i,-0.0160183414549049-2.53272500115084e-17i,-0.0377616783119436-8.7497469183073e-18i,0.0513985616028514+7.89017937122578e-17i,-0.157512774342244-1.98419896686699e-17i,-0.0494526802053313+4.54636985208267e-17i
0.0118583443223879+7.24105724244583e-18i,0.0137209783066295+2.58646298418306e-17i,0.00248854659453415+4.14254703778782e-17i,0.0272010964526263+1.4279066682303e-17i,0.0734973972091175+6.79520538611601e-17i,-0.0233641496347509-1.01005815614253e-18i,-0.0311235047110074+3.57432510389583e-17i
