-0.0079546015310877-4.18062632397177e-18i,-0.0633803572775036-1.3590260930694e-18i,0.0612630460813334+6.64035653902509e-18i,0.0149245322082808+1.77826348811577e-18i,0.00302416709003212-3.69311916622952e-19i,-0.00308863367519721+5.17527818686507e-18i,-0.0129317463404885+1.86095619327322e-18i
-0.00976536467916377+4.22391183203849e-18i,0.0103484267335478-1.62557328684938e-18i,0.0206703040448058-3.06271663777373e-18i,-0.0063690369232918-5.03434251600457e-18i,-0.00534239302007467-1.85180428931704e-18i,-0.00830774383295556-4.40496449962414e-18i,0.0201081759471391+3.77105138446269e-18i
0.0325372809028264-1.26912417162172e-18i,0.0511330326727712+5.66171092853007e-18i,-0.0656311858597004+6.81604793746552e-18i,-0.0149936173487593-4.79288622677973e-18i,0.00350134866571982-1.23838280597103e-17i,0.00731501972600852+1.91343722900557e-18i,-0.0479264301051472+5.78663258482456e-18i
-0.0273679010556538+9.98189240213034e-18i,-0.0487658748449318-3.30004146772201e-18i,0.0506803217812641-9.47750099594777e-18i,0.0377043774712865+3.76308363573403e-18i,0.0277451942207259+5.05194676198148e-18i,0.000711682325276694+3.57839621695695e-18i,0.0205172960206344-5.98164913537593e-18i
0.000975041296177681-5.03648130183573e-18i,0.00831742021203418-4.01696934438451e-18i,0.01362119305915-2.42413369572229e-19i,0.0156151542188949+2.79711012695709e-18i,-0.0014369520060435+1.96596375398174e-18i,0.0338086326826632+1.53210305397741e-18i,-0.00949896952798341+5.7918002660728e-18i
0.0289854248029659-3.58079764347535e-18i,0.0253158850849616-1.36028157236616e-18i,-0.040326008638095+3.59178309118161e-18i,0.0174313729285123-3.94305530761712e-18i,-0.00723242446317535-7.06456337632939e-18i,0.0176897026870762+4.31990571370102e-19i,-0.0385208209543462+4.85641548587895e-18i
-0.0192892576939607-5.16537035390917e-18i,0.00512628183934365-2.69613222537122e-18i,0.00809837104524579+4.97883971071069e-18i,-0.0121512850252332+1.37651275834669e-18i,0.0131064282826987-2.53877458631449e-18i,-0.0301666333625215-1.07633507352304e-18i,-0.0433994613938617+5.04869619399028e-18i
-0.0220612384182258+2.01706484361907e-18i,-0.0207325962912205-1.04089320441017e-18i,0.073336232419136+6.69334922975797e-19i,0.0762698549726939+2.7452720044824e-19i,0.0432423662375492+9.01814990223641e-18i,0.0307541900729963-1.28857046071563e-18i,-0.00293837233675357-1.74517004893706e-18i
-0.0269475752595441-6.69436770410169e-18i,-0.00133409490379295-1.09235915710133e-17i,0.0562642574782686+2.63734108388114e-18i,0.00363262565723078+4.27658111772441e-18i,0.0209343787598747+4.03366668741816e-19i,-0.0339819481374709+2.67830479435513e-18i,-0.00950760098658927+4.44355041424857e-18i
-0.00276747727755699+8.75057013625021e-18i,0.0312671585658307-1.91659743266035e-19i,0.0162372173388132-8.67061715938427e-18i,0.040408318696178+5.5761586652372e-18i,0.00199811813951211+1.26807015843994e-18i,0.0351313617881699+9.13877931041274e-18i,0.00101684620532023-2.60145589161789e-18i
0.0220502501861666-6.05330033249688e-18i,0.0683898619655554+3.14226131893009e-18i,-0.0699649287529965+1.67511271516577e-18i,-0.00212250902807318-5.05444756554305e-18i,-0.0299908429595954-7.88244394898391e-18i,-0.0382158442950786-6.15873657985762e-18i,-0.0473488628642246+7.88126107337983e-18i
-0.00312111861436842+4.3418550377587e-18i,0.0131104420129966-3.14929675781403e-18i,0.0145841494271928-7.92511587550349e-18i,-0.0100602413063441+9.07675459120748e-18i,-0.0216831718575356-7.71013640315502e-19i,-0.0277523951950599+3.15643759824234e-18i,-0.0388323924276409+2.48544777910731e-18i
0.0242263611522114-4.44185220816099e-18i,0.039170349539453+1.94978792065422e-18i,-0.0778729981769814-1.29901733032478e-18i,-0.0438969413746555-2.53680514514414e-18i,0.0233637303400751-6.16178035287417e-18i,-0.00134115563904373-2.44762566796005e-18i,0.0207509083128386+8.61240679254484e-18i
0.00167955396982683+6.44092071115374e-18i,-0.000375754322608142+3.2691100022624e-18i,0.0524768262823647-2.66317525068881e-18i,-0.0201264314440915-4.48803636398464e-18i,-0.0323509349555622+2.00901068502223e-18i,-0.00570287419236187-9.32791387644848e-19i,-0.000451211627345793-3.67075401118969e-18i
