0.00484875050371474-5.91590100307445e-06i,-0.0361252990970308-1.83776983502789e-06i,-0.0339731687926256-3.55010192857192e-06i,0.00338059308418918-4.7896382353895e-05i,-0.00471061490723826+2.31345347948619e-05i,0.0447769964614212-5.11011533401494e-05i,0.00696812841931082+3.67059353636037e-05i
-0.00102833627065708+2.5942627298111e-06i,0.0015937887952829-1.10602000171471e-05i,0.00611791976563786-4.53102667777096e-06i,0.0368185163594696-1.2147004181967e-05i,0.0221210504715444-8.80165451815332e-08i,-0.0215468379318088-1.63105771800735e-07i,0.0444486882480432+1.79422774668911e-05i
0.00825198330473403-5.8222245349674e-06i,0.008372208643144-1.39883251517063e-05i,-0.0132425163080036-3.3031440726281e-05i,-0.0307044391955759-1.74349170400527e-05i,-0.0119558035843584+6.50585902439264e-06i,0.0120799306446539+1.46636273289128e-05i,0.0553331037269846+3.65079705572563e-06i
0.00884937076041509+1.11080216227829e-05i,-0.00789496393682984+2.56362349209586e-05i,-0.0127116984847436+3.27330701448622e-05i,0.0252953941539809+6.7030118227319e-05i,-0.0613130639925399-3.69775066376267e-06i,-0.0199904666866036-3.04907397385645e-06i,-0.0709324456252766-5.07727674967065e-05i
0.00404484156070064+4.35595558932574e-06i,0.026819031664513-1.62722612001401e-06i,0.023212257842255-1.02322621155155e-06i,0.0102940289935671+5.24708296539002e-05i,-0.0268726517994354+1.35759657892828e-05i,-0.00161649378347611+1.19334991688282e-05i,-0.013109992324113-4.8626626443919e-05i
-0.000163083529225524-8.36341173224591e-06i,0.0487168447868991-1.79841462989076e-05i,0.00825150522392177-3.38013761043023e-05i,-0.0633337642777008-2.32222983019718e-05i,0.00548314568086657+1.29384045843661e-05i,0.0203218447212081+7.90610441758511e-06i,0.0204288573462686+4.5948696601002e-06i
-0.00105395451573498-3.20559169221982e-06i,0.00453501879107209-3.78277435128851e-06i,0.0147071851259561-3.94820799642658e-06i,-0.0412958292457462-2.17608806784623e-06i,-0.00257849059931964+3.13454781225501e-06i,0.00849639785900529+5.98257953680321e-06i,-0.0155791276285123-1.11112725778526e-05i
-0.0131079737836581+1.45198135098454e-06i,0.0185010092889928+5.76425789172709e-06i,0.000696389968351071+1.03696815405342e-05i,-0.00753716204361469+2.65206974276874e-05i,0.0648403944914433-3.07183073636295e-05i,-0.0108283202925062+5.95492463581365e-05i,-0.00986601727370561-1.60129276887246e-05i
-0.00238620980116233+1.48144518662143e-05i,0.00622602588263746+2.7138906085579e-05i,0.0183722757257569+4.50298218209955e-05i,0.0495072128626594+0.000100994915917662i,0.00377919312307433-3.29408638800007e-05i,-0.0425024776615903+5.1555204094642e-05i,-0.061400893300527-6.942130012064e-05i
-0.0118559551346058-7.37900168106928e-06i,0.0293540405970028+1.35357940116021e-05i,0.0194281167412831+1.24875875678625e-05i,-0.0152029388956084-6.78507584273845e-05i,0.0327979567165261-2.53407023155758e-05i,0.00842537919979731-9.01902276573798e-06i,0.0250352145212677+4.19453717961083e-05i
0.00363973085352204+3.55158728316563e-06i,-0.00226196646849215+1.22187317065139e-05i,-0.0163036475200863+2.45828513150782e-05i,0.0163125167318946+8.33351376955577e-06i,-0.0262700130688099-8.13993173944209e-06i,1.68688138232143e-05-9.24121660119039e-06i,-0.0402561577158565-2.09372020465459e-06i
0.00583700002315093-1.06031934155184e-07i,-0.0342070105135316+1.81403685315511e-06i,-0.0143957690125959-8.23828981898204e-07i,-0.00615872568291163-9.77078526238342e-06i,-0.0329596474369455+9.35329321301945e-06i,0.00148372410770984-2.13717121170158e-05i,-0.0118616409771578+5.66472538764406e-06i
-0.0061856416746697+1.38891852841678e-06i,0.0680192217971964+2.28619336335526e-05i,0.0195647920940059+1.49748293507645e-05i,0.0172697087582738+1.03889429345353e-05i,0.000391999478191521-1.84063176444584e-05i,0.00582500704456728-5.90507685773869e-07i,-0.0132956940951556-4.730341190768e-06i
