-0.00678463055639934+2.59381319016256e-06i,-0.00707772374087105+5.44318106069918e-06i,0.0161654295799454-1.65922950979654e-06i,-0.0326130529361228-1.71357983174928e-05i,0.0325714580405997-6.80457421668141e-07i,-0.0133378599960021-1.16405000749433e-05i,-0.0193824561182407+1.61600442468551e-05i
0.00519020696830562+4.44668975763487e-06i,-0.00992798254129207+8.17418594718358e-06i,0.000583514789690665+2.56062089903716e-06i,0.0164620071790757+3.12711271999292e-05i,-0.000432095145573596-1.80806020466373e-05i,0.0443606739997919-8.83806257279884e-07i,-0.0351265320715854-2.67935080954768e-05i
-0.0126241731630276+3.93296937704909e-06i,-0.0405152954305423+1.46989039606399e-05i,0.0213255457352092+1.55670851476007e-06i,-0.0653345783073198-4.50930330108705e-05i,0.0242429543606541+2.66267671129658e-06i,-0.00305108336074614-2.46142994722955e-05i,-4.82250908834939e-05+3.082043464217e-05i
0.00159928115921644+3.01178371217386e-06i,-0.0169509723547417+1.85564297710916e-05i,0.0362933570942339+7.09315219576281e-06i,0.0118261053021914+3.32654368615199e-05i,-0.0321298211786773-2.07363078167569e-05i,0.027088232527312-5.00341008620961e-06i,-0.0320748423628657-3.74193009380277e-05i
0.010718594477332+6.20694338722235e-07i,0.0136356621079037+1.01733180470643e-07i,-0.0446811174542528+2.85126463047169e-06i,0.00289798035438709+3.31681926296286e-05i,-0.021402748897242-9.38064398040807e-06i,0.0768393703336492+9.70099067294499e-07i,-0.0201699200044201-2.18667091238561e-05i
0.0127361538199236+1.42198007265614e-06i,-0.00498885717179033-2.76123915204117e-06i,0.0430734758663852-1.05138967204973e-05i,-0.0275077807064231+3.09233271190373e-06i,0.0227094390617569+4.40215813707141e-06i,0.104398740395222-8.38754964844705e-06i,-0.00626988230457255+2.25834119814256e-05i
-0.010762626920453-1.0042429218591e-06i,-0.0458087420987073+8.86480309718401e-06i,0.105061769676695-5.41228262168152e-06i,-0.0599183840461859-2.4421007094114e-05i,0.00226058244290254-1.09523971980041e-06i,-0.129625139081309-5.27478938499343e-06i,-0.0583798405991402+2.60451709740892e-05i
-0.0128643162977132+2.5337226872564e-06i,-0.0454042293546777+1.16955065361441e-05i,0.0544318486117423+5.56357760317118e-06i,0.0376821524969324+5.003234917162e-06i,-0.0527932439821871-1.56000562945892e-06i,-0.00159026085303397-1.86456198196929e-06i,0.0340125393543423-2.82041862881074e-05i
0.0136214881292918+2.36437195848544e-06i,0.0204885737921262+7.22870714023366e-06i,-0.012598952721474-1.52936745707897e-06i,-0.0414915537467902-2.82631023133061e-05i,0.00119294521375084+8.13636455484065e-06i,0.0483898267698592-1.53783619617213e-05i,0.010158150673611+2.21751693689532e-05i
-0.00437234287783179-1.42635603237587e-06i,-0.00698037358180747-6.15650893727989e-06i,0.042809560734953-6.13547175933042e-06i,0.00243979027501488+8.04281257490016e-06i,-0.0579526767001751+4.21132916735883e-06i,-0.0216968912797664+9.38958596835038e-06i,-0.0031750145255602-4.89688005425689e-06i
