-0.00201657622652015+6.8362102567897e-07i,-0.0181556052352749+2.42685981525254e-05i,0.0107245461191298-6.71378532656695e-06i,-0.0580781627557379-3.33842508540446e-05i,-0.0127275685111563-1.42907882341897e-06i,-0.00869572599912217-2.51851880101631e-05i,-0.0359467384559689+2.65971814691483e-05i
0.00297912230357463-1.72475599319279e-07i,-0.0477187137757911+2.43200551159779e-05i,0.0539187687583082-1.6215434722434e-06i,-0.00482147564549849+6.31613847806978e-06i,-0.0164041775891686-8.59834904418669e-06i,0.0127879428205909-7.8470043923042e-06i,-0.00229801583835444-9.39465102984436e-06i
0.00740498528248501+3.64344017215117e-06i,-0.0157568154217699-1.59711909180154e-06i,-0.0325479390906196-7.65585183318063e-06i,-0.0120202996166153+1.13924401255182e-06i,0.0103351242722486+5.30954402735363e-06i,0.0619580473319343-5.23639302489885e-06i,0.00791653357102491+3.59595010210967e-07i
0.019752543912753+1.15197611952649e-05i,-0.0026431842445168-2.22912585241961e-05i,0.0214985368368695-2.75809051314222e-05i,-0.0333965415720923-3.80094322332933e-05i,0.053623903992272+2.64651786763837e-05i,0.0811052551440191-2.07529854764626e-05i,0.0209459998232416+4.58748677988963e-05i
-0.01968818023007-7.44122377467799e-06i,-0.00622981342254517+1.4053102225566e-05i,0.0233951807216225+1.57273675129625e-05i,-0.0307632377636697+9.43507867146051e-06i,-0.0413173398161165-1.53687217274331e-05i,-0.0970291373519225+5.33421897759067e-06i,-0.0711009447282504-3.72295765870755e-06i
-0.0071263502139887-3.3940937510758e-06i,0.00789679372683304+2.29248741170392e-05i,0.0474552911326907+5.84067813574483e-06i,0.0443960931077971+1.04177453178075e-05i,-0.0391752257723572-2.85169097633849e-07i,-0.0244115675073548-1.76114213428775e-06i,0.0188802202026355-2.74914027430061e-05i
0.0099105453751549+8.54508949355708e-06i,0.0203793154027518+1.90070331636058e-06i,-0.0418413332701029-1.67235460595581e-05i,-0.0291040896879009-5.05737495500496e-05i,0.0168996145911211+8.70842261577034e-06i,0.0503958734834946-2.1033167333304e-05i,0.0125404217928867+4.00014201735474e-05i
-0.0113743795293475-1.05209140661615e-06i,0.0409755917690649-9.03080685112003e-06i,0.00678720680553152+1.77900777765578e-06i,0.0138864142714232+1.1689416357334e-05i,-0.0474671226175701+8.08290739969657e-06i,-0.021803672879223+4.18650611723379e-06i,-0.0077823288556787-9.82988531053089e-06i
0.0125522977855266+2.59240762685942e-06i,-0.007942113299183+3.93770947881866e-07i,-0.025286371940511-7.56265547877904e-07i,-0.0158538508097932-3.23837000294949e-05i,0.0631139805291692-6.95453800184325e-06i,0.00405873759707399-8.35849859956978e-06i,0.00633311742300916+2.86818142290214e-05i
0.00871902945213457+2.92604081236963e-06i,-0.0325364580952336+1.99428754624693e-05i,0.0138058938760215-1.19535162145052e-05i,-0.00364789354293807-2.86242716189402e-05i,0.00247923433624931+1.57357640065118e-05i,0.0547868655776477-2.43260171391454e-05i,0.047289498132535+9.11769412463628e-06i
0.000799799677130294-7.65545809867628e-07i,-0.0110750376345553-4.44235422496901e-08i,-0.0478643454694043+9.23179314043754e-06i,-0.0504502136432001-5.31758800239268e-05i,0.0322585135974467-8.64929533045284e-06i,-0.0409216224638012-7.32884518180469e-06i,-0.0105970686487075+4.19107294716435e-05i
-0.0202022393791454-4.16691241971429e-06i,-0.0359108579668938-1.99192194960435e-05i,-0.0172748683217592-2.4301211677021e-06i,0.0396241159032077+7.79411850034511e-05i,-0.0270773113786831+1.37089078952884e-06i,-0.010366508708074+2.7984560485112e-05i,-0.0385994269567341-4.29062472890884e-05i
-0.00665435446870757-2.41331662605777e-06i,0.00205961083247228+2.4891675329266e-06i,-0.0071757627029535+1.19977994381712e-06i,0.0444466959336376+6.8990808390876e-05i,-0.0257560676294481-1.33249022525108e-05i,0.0146105231264216+2.15820240810671e-05i,-0.021955785317494-4.92734847041867e-05i
