0.0256492034351477-2.41482013915998e-06i,0.0578050778812904+1.42979350553003e-06i,-0.0554093653102918+1.13545687937468e-05i,-0.0382318467382646-4.42975970987782e-05i,-0.0523848821812421+2.00375870031934e-05i,-0.0143462755688198-6.17313068458587e-06i,0.0433270300635549+1.21735450574824e-05i
-0.0449596055089962+8.11146378954362e-07i,0.0157553766354801+7.89647250814852e-06i,0.0748590032294225-7.22082157933655e-06i,-0.0848195594468408-3.11154458251336e-05i,0.0523060168134948+6.28570821821906e-06i,-0.0108737642681699-2.222074297983e-05i,-0.0495334083337703+4.6114919721918e-05i
0.0194323118302254+4.6244226836048e-07i,0.0136658898505875+9.80126938527653e-06i,0.0983395594423421-3.45260663676912e-06i,-0.0562765082563476-4.63181959068243e-05i,0.0363327425253102+1.37650726183334e-05i,-0.0197671934926183-1.8925090436555e-05i,0.00450763320523422+4.41820797266258e-05i
0.0167042638418253-2.70162177738579e-06i,0.0039597511490275+5.40530506579929e-06i,-0.012538374153359+7.08669429830802e-06i,0.00394658500511296-7.36796459241292e-06i,0.0148030563507905+1.93328699787703e-06i,-0.00931840592557846-2.7561226123093e-06i,0.012769880277537-9.53371521953977e-06i
0.0566116836866079+9.56456103962032e-07i,-0.00756263298015404-4.90548580939622e-06i,-0.0164151367279426-1.73129317195923e-07i,0.0209236494771172+3.38924241065452e-05i,-0.0351836104436753-1.12388495832252e-05i,-0.0522350598523585+1.38266065785698e-05i,-0.0483222611903428-2.98010121570087e-05i
-0.0306697413998102-1.24871594379228e-06i,0.00777391789215561+3.67309508246863e-06i,0.0422614395139162+4.66846102250588e-06i,-0.014031604294747-2.05843283141951e-05i,0.00249760611125948+5.27976916757346e-06i,0.0377992989874828-8.55532909817947e-06i,0.035129380902845+1.32324743503509e-05i
-0.0164186654216515+4.72788207935733e-06i,-0.0128544618637037-6.0399750928073e-06i,0.0346347945260237-8.91436040686269e-06i,0.0361590036880056+3.1893711095195e-05i,0.0737441899072105-1.77788008575197e-05i,0.0134970632540903+4.30456472531635e-06i,-0.0442355241157582+4.04534288429651e-06i
0.0735333617285332+7.48578154574548e-07i,-0.012840543641095-3.47918287485132e-06i,-0.0600910584463313-8.8466249097678e-07i,0.0148658730731973+7.96779707291527e-07i,-0.0977710388660487+6.07042210336641e-06i,-0.0418129777256688+1.46577029249792e-05i,0.0245811321506259-1.57427264642993e-05i
0.00112403381186405+3.70026518883684e-06i,-0.0284453476303624-4.94061130326772e-06i,0.0259298410977146-7.27849770514303e-06i,0.00902476101116066+9.57763319293201e-06i,0.0123816698462273-4.63059333725583e-06i,-0.0107888599280229+4.01376587969518e-06i,-0.0177142639183062+9.89608073936736e-06i
0.0121878324575054-1.64849504295263e-07i,-0.06573549000763-3.17916395995551e-06i,-0.0287944548249539-2.54753110828735e-07i,-0.00712028623693172-8.79310307101381e-06i,0.00270791309750323+4.71803313945695e-06i,0.0198215324136605-2.51200504131585e-06i,0.0236489771778766+1.06877222850993e-05i
-0.00290199544910689+9.74130611298819e-07i,0.00308993835905788-3.41662302072525e-06i,-0.001119064664351-3.38468147170657e-06i,0.0305711355381897+2.02372311218738e-05i,-0.0218853859910931-5.40295403739007e-06i,0.00557126710372436+9.71574649263125e-06i,0.00333797123387404-1.51764766476643e-05i
0.0140492638807632+2.45809648570802e-06i,0.00714538574856835-1.67365383357441e-06i,0.0117180754996993-4.05934047697228e-06i,-0.00627635007776879-1.5087664909863e-05i,-0.0176476524354879+7.12223094641184e-06i,-0.0439354698568431+2.09028972625746e-06i,0.00202303709135183+1.57234176000994e-05i
-0.0195237828861222+3.07293468876498e-06i,0.0397733443025972-6.64408324532563e-06i,-0.0053759418151644-7.59187239523936e-06i,0.0510253255555433+3.61733027101707e-05i,-0.0240597670670226-1.0744803539617e-05i,0.00248708071222431+1.65272652528255e-05i,-0.0110103456259287-2.24963615171543e-05i
-0.0100624568795203+3.3927289019316e-06i,-0.0344574125678814-8.1908361749453e-06i,-0.0173368810577339-3.37931222311828e-06i,-0.00979029427725841-3.06605705620563e-05i,0.0164322038713685+1.44277353830453e-05i,-0.00655300475174593-2.44246996479414e-06i,0.03546381184488+3.53849221400644e-05i
0.0341486774981825+2.56793094948731e-07i,-0.0188558867729765-5.84487940064907e-07i,0.0238044749851542+1.21241468447977e-06i,0.00539830076226487-1.54919266954436e-05i,0.0029807333269932+7.5909283073779e-06i,-0.0689461377345979+2.56759361727355e-06i,0.00663240973629377+4.50242370714487e-06i
0.0703626354801725-1.17096079370437e-06i,-0.008155165420902-1.57591311989941e-06i,-0.0505572978287029+3.48094874228227e-06i,0.0287821442132286+8.25379990183159e-06i,-0.0117629809756876+6.54118409183878e-07i,-0.0946058236029937+1.23058368862218e-05i,-0.0175680874452499-2.53515638082412e-05i
-0.0523028488215715-6.61447296504537e-07i,0.0407781049986873-5.94278201007698e-06i,-0.0978883282920613+6.85763338611668e-06i,0.0488952906040917+1.89040461244737e-06i,0.000521744964808747+2.05142409037867e-07i,0.104376667601507+4.87906941704981e-06i,0.0781646999569248-9.045617555943e-06i
-0.0311344030073029+2.9127423390827e-06i,0.0493064547872295+1.70959141178096e-06i,-0.0522245779306197-4.32043243432718e-06i,-0.0220179354872807-1.31522423970033e-05i,0.0516157629467877-1.1127215104516e-06i,0.0220437293128966-8.75529698901198e-06i,-0.0219675149011419+2.79507393472726e-05i
0.0634371330802747+1.29649778405414e-06i,-0.00930884123532953-3.32636500562527e-06i,-0.0145480208490046-2.96962214769829e-06i,0.0476948392365441+2.68842720903791e-05i,0.0027382636306424-9.67085672400276e-06i,-0.0474619496085657+1.40634433983366e-05i,-0.0215381021824032-2.25271505352756e-05i
-0.0139621952669493-8.51168908507699e-07i,0.0411823103878112+3.71065243478878e-06i,-0.0408217712790161+5.40258548405389e-06i,0.00714903885186333-3.66494186857182e-06i,0.0442750718612967-2.94896941081061e-06i,0.00965791023210183-3.70754893528853e-06i,-0.00430930533425584-9.53892847467228e-07i
0.0110723578243608+1.30883719253455e-06i,0.00280427878673084-2.7923932647191e-07i,0.0916262865617941-9.93760692044466e-06i,-0.00352871190038627+5.99175423237589e-05i,-0.0896309209949011-1.98498484322727e-05i,0.00488796955025234+1.1518840645717e-05i,-0.0717016604715179-3.81907498756662e-05i
-0.00946742284971426+2.76897669214768e-06i,-0.0342042786547071-3.41770067238458e-06i,0.00374859649193118-5.87794875598921e-06i,0.00716542201860565+2.70589183589076e-06i,0.0571426024182986-3.29538522517393e-06i,-0.0695634746312462+2.60213402844353e-06i,-0.0434379124525065+1.11945600137294e-05i
0.00689839508774924-1.77829403172766e-06i,-0.0429937767068116-5.18348389194666e-06i,0.0220621701965797+2.53820317672701e-06i,0.0482485344419255+4.91123584268762e-05i,-0.0515062147772558-1.48609766819781e-05i,0.0698111436582487+1.32029277079714e-05i,0.0187551276660466-4.52790304413459e-05i
-0.0114974945155944-1.49048971949451e-06i,0.0184083663972596+7.32963580237455e-06i,0.0122232047671177+4.52821441962164e-06i,-0.028702650380708-6.61143862875572e-05i,0.0397234041261407+2.51898519655449e-05i,0.00267870296627165-1.70928136581457e-05i,0.0733131201118804+4.25859453080664e-05i
