-0.000344550156887996-3.34476616001666e-07i,-0.0231148108054955-3.62593706877643e-06i,0.094577528749413+5.87522421352141e-06i,0.0880798807429945+2.59871362080984e-05i,0.0299431787452735+3.03333124825455e-06i,-0.0138938023318529+1.3415209522596e-05i,0.0526705377731487-4.25935030392834e-05i
-0.000941112793111885+9.2588054525796e-07i,-0.0033512149513483+3.01802614910046e-07i,0.011231247841569-2.38598895814442e-06i,-0.0454321180418772+1.755711670512e-05i,-0.0272451043606072-2.16309615384918e-06i,-0.00822327164658568-2.37218080266708e-06i,-0.060358992592249-9.87139480769945e-06i
-0.00817558782468706+1.41967338878699e-05i,-0.0982063764754265+3.69359143245016e-06i,0.0522368330119079-2.00448196191342e-05i,0.0799581008378122+6.80698156058297e-05i,0.0890288414401098-2.721191460546e-05i,0.0352565525841826+1.07969395131183e-05i,-0.0555550970756198-3.27681704229028e-05i
0.0144863191632886-2.20710956064701e-06i,-0.04385551858631-4.36434471844385e-06i,-0.0894276521525385+8.70230095251842e-06i,0.0495915799056382-1.64366804185395e-05i,-0.0130606042242409+4.8582475205605e-06i,-0.0183650545004684+1.17938548647819e-05i,0.0742634080537303-8.98949165954906e-06i
0.015119126606362+3.1926040907978e-06i,-0.0271908516576481-8.88547840852974e-06i,-0.117378888767109+9.9327393116674e-07i,-0.00203094707578101+1.03101154746779e-05i,0.0214901872926864-3.73429103312998e-06i,0.0290171315516048+5.04841314243392e-06i,-0.0157381193513409-7.52240301463483e-06i
0.00702886100772404+5.09363368585487e-06i,-0.0123707591899529-5.26031717670133e-06i,0.0197191351420809-7.0384194058795e-06i,-0.0193966473348592-3.29532737301902e-06i,-0.0130510293878905-9.11357014846693e-06i,0.0239845431176032-3.88044475266868e-06i,-0.0179022183340733+2.8848995806834e-05i
0.00639998033441451-4.04647576984725e-06i,0.00385807673556658+2.30076944856152e-06i,0.0380438994830851-2.05318524334615e-06i,0.0260394241409751-1.97146342362326e-05i,0.0413090370519305+9.48122601594835e-06i,0.043174077289937-4.06503946575929e-06i,0.0821657707993258+1.51137254081755e-05i
-0.00484726707766893+4.77566672844331e-06i,-0.0335176733266552+2.47840198337901e-06i,-0.0575418718751186-1.3622658861438e-05i,-0.021156902549462+6.98271974083709e-06i,0.00755292138227646-3.5444214860478e-06i,-0.0123683173807922-2.09408649261389e-06i,-0.0591904681130296+7.39384527505762e-06i
0.022206087883521-1.70953070507224e-05i,0.0243763074422158+3.98490827374941e-06i,-0.0381945024035282+1.24237815197422e-05i,-0.110100075803029-5.88023481943477e-05i,-0.0880269359101455+3.74969388921215e-05i,-0.0140490316058568-1.66527924463423e-05i,0.0524306559763763+2.25909942738134e-05i
-0.0147256205959165+4.99390312887624e-06i,0.0195149010437433-1.54255778240081e-06i,0.0957855163962366+8.00271400433375e-06i,0.0691296926360881+5.14921539632227e-05i,0.0792356195702443-1.23376075484137e-05i,0.0528158895501688+5.89662972900722e-06i,-0.00852028232314199-5.25013368702966e-05i
