-0.0074478772822599-1.48061121424041e-06i,-0.0267240269893329+6.29833623254849e-06i,-0.0183953140914565+3.14490615164466e-06i,6.6998925286337e-05-9.46131822476398e-06i,0.0316861818212828+5.4525684548978e-06i,-0.00240780126286333-9.11818510238468e-06i,-0.00920668332336877-3.46077618064463e-06i
-0.00609785800067011+8.47744123911354e-07i,-0.082034440435871-2.49584748668655e-06i,0.0413637577411984-5.98871928417799e-06i,-0.0247244032533811-7.53372138073765e-07i,-0.00283132991898186+3.13563013152001e-06i,0.00993796127134647-8.06313734793671e-06i,-0.0228072361348915+1.65458251363671e-05i
0.0196689355772183+6.01695688402263e-06i,0.0257130120068835+2.14137352508595e-06i,0.0589124728439035+2.2600300764183e-06i,0.0256252669356217+3.80053660013978e-05i,-0.0151995835591895-4.59460014046845e-06i,-0.0431637805724507+1.56324444019912e-05i,-0.0282368104588251-3.20003325235331e-05i
-0.00375604617327982-6.19352510144828e-06i,0.0189123859141865-2.11288877121862e-06i,-0.0412168966492004-9.7575167880454e-06i,-0.0374053535929977-5.53514471664804e-05i,-0.0209978707006888+1.50852253754922e-05i,0.0270187345304453-2.27881838688576e-05i,0.0316260315715114+5.07607235624415e-05i
-0.0211376221298589-4.53708801204602e-06i,0.0147267891329149+9.28699528929335e-07i,-0.0587626602750827-1.05730307822167e-05i,-0.0399416077007983-2.07243538174845e-05i,-0.043227892843294+7.20013669285913e-06i,0.0331007883699563-2.46452491128903e-05i,-0.0315058868125602+2.75310421498588e-05i
-0.0107840783166518+4.24024275821528e-07i,-0.0259149532225447-3.88258916260704e-06i,0.0278129827579388-8.45735554097678e-06i,-0.0278523901172027-3.81963908262553e-05i,0.00241329635371054+2.05515495656039e-06i,0.0419199895556164-1.51924694018352e-05i,0.0349948183277353+5.14486861928012e-05i
-0.0199524622858342-2.99375332633679e-06i,-0.0352291671983222+6.63101629507716e-06i,-0.0302891646148708+6.74911367285936e-06i,-0.0143135842092643-1.34656679970669e-05i,-0.0479419523250301+3.78137346552492e-06i,0.0459537189368498-2.08339102180372e-05i,-0.0136497004048665+3.56765566141702e-06i
-0.00354893654189119-3.16742641810174e-06i,-0.0362156564540102+3.06899992202299e-06i,-0.0484173921664083+3.62692021327166e-06i,0.023183306130985-1.46174559286714e-05i,-0.00850282172233225+4.71700178319299e-07i,-0.00381618252846393-6.76718007054146e-06i,0.014055692347114-4.90380902891689e-06i
0.00736932603217152+2.72728128894534e-06i,-0.00261305764779997+2.35510728276739e-08i,-0.00543328112937705-5.84563649031126e-06i,0.00774943743540068-7.87240448273906e-06i,-0.0135924998950278+9.22420768504269e-06i,0.00256698225042168-7.62438494549242e-06i,0.00431469681839857+1.64704318290331e-05i
0.0213797735665069+1.2196182312564e-05i,0.0385096329324507+1.1651456345827e-05i,0.0477233223340582+1.79499427628032e-05i,0.0636666676610923+6.37832404925531e-05i,-0.00571562600980797-9.44568958600453e-06i,-0.0402007575210701+1.06153270257184e-05i,-0.060838022692683-6.51918403375395e-05i
0.00294664077219479-2.98000447167756e-06i,-0.0318749041978576-6.24034762476422e-06i,-0.0284925980099484+4.50326970079173e-06i,0.00485894032328032+8.48250200938339e-07i,0.00704599336063985+8.56308051666893e-06i,-0.0205816667990093+8.20659345244927e-06i,0.0078139444146562-8.2784847251429e-06i
0.0324268666201039+7.58081309214325e-06i,-0.0217983213805578+4.72467671955824e-06i,-0.0286239495905312+9.45763561334295e-06i,0.0888224946412526+4.46066604128538e-05i,0.0321537295968684-1.88789016961274e-05i,-0.0290434448615646+2.501476623309e-05i,0.00865315731584306-4.74939028380625e-05i
0.000448487254270154-5.24080990732017e-06i,-0.0135318403996446-1.14273008254272e-05i,-0.0175230600720337-1.05539201405609e-06i,-0.0267319446014983-2.37343416235802e-06i,0.00696468362276259-3.77162868965826e-06i,-0.0262840965631995+1.70427989306527e-05i,0.0229979211284051-7.63608437328694e-07i
0.0098217952863308+4.35344635866256e-06i,-0.0325201373312027+2.79332005826213e-06i,0.0256116766696097-3.00623983339457e-06i,0.047788539292839+3.27670254231242e-05i,0.0592042075906123-8.5761956181167e-06i,-0.000562287844947839+1.35422755849666e-05i,-0.000240069076056189-2.23781793839059e-05i
-0.0213280756815727-4.71758131427226e-06i,0.00696671530092905+1.83780871746316e-06i,-0.036337395682256+8.55281006162903e-07i,-0.0252212192876161-2.23087566547893e-05i,0.00211897422768293+1.93375406872697e-06i,0.0257987165973281-1.2446262259548e-05i,0.00261771731999945+1.42837882571367e-05i
0.00560815253408852+5.69607019535462e-06i,0.00808313299804997+3.56506724787291e-06i,0.0314658247741829-1.16693980363829e-06i,0.0433046415613195+4.49788994975699e-05i,-0.018932044530932-1.26261331913621e-05i,-0.0121443565649952+1.08087630444025e-05i,-0.0323821633983445-3.09389283505844e-05i
-0.00687845793866103+2.46728625018665e-06i,-0.0263950780154319+4.15651290516579e-06i,0.0069186625925414-4.32857784898233e-07i,-0.00651511252005651-5.10858765636743e-06i,-0.0185387642465452+4.6216679420593e-06i,0.0220373949537191-1.69947559642983e-05i,-0.0161821975381559+1.15391758294269e-05i
-0.0114668911027216-4.13340848915281e-06i,0.0278912683785094-1.61082334776983e-06i,0.0193435931738407-8.31525569015106e-06i,-0.0225862246292419-2.45598540306187e-05i,0.0187161732660761+1.35322615485854e-05i,0.00742239003933912-1.15983170346783e-05i,0.00542570736596432+2.49368292851978e-05i
0.0280133436889007+4.7398853571216e-06i,0.0293527433766668+4.98119789272013e-06i,-0.0259806898291909+1.23816495530024e-05i,0.0642666929978513-6.52272252618788e-06i,-0.0120300395662069+8.48505370819387e-06i,-0.0486920422629958+2.69704769769682e-06i,0.0329735827417152-2.17882992508114e-05i
-0.0222047659782791-7.81863452851999e-06i,-0.0263125486360728+3.91296264467572e-06i,-0.0588159780720213+4.61286954247675e-06i,0.00122180262194929-2.80568735848244e-05i,0.0174255012892232+5.6524689701377e-06i,0.0385248378579785-1.35514539013619e-05i,0.0211034761975956+4.68693447081882e-06i
