-0.0430830665664944+2.78975780337182e-06i,-0.103170966685755+1.00299098623769e-06i,0.038307712095687+5.57954123396607e-06i,-0.0328093277673012-3.90537073651918e-05i,0.00741291249522846+1.44621666864606e-05i,-0.0165391634663912-1.00249184564921e-05i,0.0388382047481238+2.92062627098929e-05i
-0.0684593673127429+6.87347509850999e-06i,-0.0762865547490574-8.89717049513966e-06i,0.0630369282677093-1.56917406765913e-05i,-0.0228723531756428+2.00193442861281e-05i,-0.0443505285334287-6.01612100651375e-06i,0.0184313070089208-4.4592801066612e-06i,-0.0264989581773309+1.7905977783937e-05i
0.0187735146995061+2.56762605236775e-06i,-0.0111747860092221+1.48430623211236e-06i,0.0104014565857503-4.37199751445361e-07i,0.0151363332087922+4.27362114223392e-06i,0.0332730167188769-8.53485107346909e-06i,0.00884558521977994-2.93654432175944e-06i,-0.00630825038274416+7.20822777304546e-06i
-0.240637181419105-9.12453151396094e-07i,0.0107228143496371+2.96026366215183e-06i,-0.0976268079452674-1.28297547122687e-06i,-0.0473707800082688+5.61894615166584e-06i,-0.0423488302872368-6.22058899363749e-06i,-0.0201811268928624-6.71737562515573e-07i,-0.0613020588948786-7.44368947536481e-07i
0.096193971072057+5.19138894584744e-07i,0.0170312552741141+8.91225488581321e-07i,-0.0390192472166336+3.77551563690803e-06i,0.0260823153377434-4.0767209857756e-05i,0.0430850645419402+1.32454018116455e-05i,0.00630186088820483-3.89626427629282e-06i,0.0724443955412699+2.6998917014432e-05i
-0.0937029620107199-6.32194430173097e-06i,0.0740520959690894+5.04457349457816e-06i,-0.078533383186512+2.53252064584302e-05i,-0.0649465413699056-7.24522076452938e-05i,-0.0669697722304129+3.18402138783213e-05i,-0.0375204871007622-4.84505998654279e-06i,0.0522062794947501+1.25172364873003e-05i
-0.0669325456578285+1.39424757375432e-06i,0.0109324357759-2.49559464180858e-06i,0.132129219710843-9.94337804427562e-06i,-0.0612287610192606+1.42301449214664e-05i,0.00567649763761504-6.62603516097355e-07i,-0.010423423082762-7.96818863909121e-06i,-0.0744500878143684+7.40590588136519e-06i
0.0590205188529391+2.26576332807334e-06i,0.00189616645940824+4.88082556804975e-06i,0.145152430515797-4.69257782084482e-06i,-0.0505264737783848-3.49054341654097e-05i,-0.00319627744567459+1.61203470940633e-05i,-0.029563441859643-1.27571465288503e-05i,0.0057630588170194+3.22806158131563e-05i
0.0190702295294972-5.62811342826236e-06i,0.0192156006579021+4.20135538242373e-06i,-0.026901653939699+1.15599292213775e-05i,0.00717374868912442-3.09468434577453e-06i,0.00683354467216592+4.68446568111455e-06i,-0.0133378151250241+5.79075339139435e-06i,0.0120909735373704-2.55311966877808e-05i
-0.139104844940032-8.42367974332323e-07i,-0.00193343581762008-6.47474694857502e-06i,-0.0421052082422416+4.7867883096425e-06i,-0.017894734059781+3.54669544288278e-05i,-0.0439104258915226-1.38793792438782e-05i,-0.04131535326704+7.80642679070953e-06i,-0.0833997044460127-2.80372466004671e-05i
