-0.0134250502232833+3.39352204428021e-06i,-0.0306002859687379+1.81995297120324e-05i,0.0181911022264016-9.39246795632761e-07i,-0.0510481971069512-3.1647727347633e-05i,0.0128312451788551-2.11143957084459e-06i,-0.00327044617890525-1.92013113530527e-05i,-0.00925294095411664+2.19575506141601e-05i
-0.000611079644396791+3.18329628788055e-06i,-0.0390196212190617+2.08302437639622e-05i,0.0403061419776558+5.96488284845028e-06i,0.0030508540031535+1.70469000598864e-05i,-0.0173414209946957-1.87473176398895e-05i,0.03053338154697-9.9720562117151e-06i,-0.015359695037261-2.12963303077054e-05i
0.0178156157078267+9.28064605858044e-07i,0.00271588588614696-1.95700372737114e-07i,-0.0435882188187336+3.59370630040629e-06i,-0.00453595147407485+2.20498821172286e-05i,-0.0178185470098644-6.04063829316481e-06i,0.0557386611153668-1.35704008325277e-06i,-0.0179849661702732-1.43749983275776e-05i
0.0309711819324071+5.08716242627421e-07i,-0.0180605847009608-5.36780080418755e-06i,0.0173505351130172-1.2835626984433e-05i,-0.0312287526788597+8.84303900450224e-07i,0.0169133690194989+8.02954812802757e-06i,0.0864695268164096-5.41158514094544e-06i,-0.0137413165368519+2.47199114406581e-05i
-0.0251211368843505-2.68760540517956e-06i,-0.0286152667939303+9.16162955498613e-06i,0.0744432365233637-1.57505041115068e-06i,-0.0286624359898668-1.79482703519044e-05i,-0.000539585276815721-2.93418930468214e-06i,-0.106051765197093+6.97903476747459e-07i,-0.0336822480026884+1.35868220283163e-05i
-0.0235429890756373+4.36161005981951e-06i,-0.0253596872443839+1.55358698456673e-05i,0.0466382140317642+3.65532807640205e-06i,0.030725005765737-5.8832306082473e-07i,-0.0267477655120194-5.70596210846551e-06i,0.00690728183087693-6.81636388978782e-06i,0.0345731484989065-2.06875180179152e-05i
0.023473547985186+2.55424654415611e-06i,0.0163630262189319+8.37064778573264e-06i,-0.0316857707279456-3.84713827649905e-06i,-0.0331169326993396-2.33207239116372e-05i,-0.00516944763912327+5.87789649954374e-06i,0.0334801959770881-1.0113964865766e-05i,0.00139291535510799+1.95013520998096e-05i
-0.0107779255672457-1.79750592110851e-06i,0.017892995989437-7.89457224700631e-06i,0.033914881014003-4.65887174890234e-06i,0.00812283511419594+8.51990842536366e-06i,-0.0456044616948561+3.06391106176187e-06i,-0.0276820433917948+1.09460602685081e-05i,-0.00422725171149685-7.26165941972253e-06i
0.00666370409382854+1.59628239232268e-06i,0.010799334949058-2.36030759426989e-06i,-0.0542133884922499+1.38518560418627e-07i,-0.0168511710966829-4.56204804511152e-05i,0.0807001363739837+1.39816723678377e-05i,-0.00159837105640936-1.21880891909194e-05i,0.0310106710455073+3.80101759556061e-05i
-0.0110946128473667+5.6778828825062e-06i,-0.00998118212385223+1.36348390571661e-05i,-0.00243623975481915+4.06704323424045e-06i,-0.00853047169820828+4.53553852417126e-06i,-0.0242340909366689-4.19699910162821e-06i,0.0972801862055487-1.82108455348606e-05i,0.024059032518948-1.31569295168773e-05i
0.00335807686634033-3.40354362458815e-06i,0.017734016176506-2.39542682064835e-06i,-0.0402947956432472+5.4272888610617e-06i,-0.0446285665574814-5.2082181641826e-05i,0.0508498318767406+1.59561376125867e-05i,-0.0684695449779699-6.52839566352731e-06i,0.00799133480243048+4.21873058428893e-05i
-0.00244136561659329-4.44435793876793e-06i,-0.0375351245399888-1.41072198771635e-05i,-0.0191684692934813-6.12946739060027e-06i,0.0525014593325232+5.69634187579834e-05i,-0.0372747447612148-1.04376123886331e-05i,-0.035256459990598+2.57570715743098e-05i,-0.040896050169813-3.65975370449315e-05i
0.00708325240179918-6.96899448248952e-08i,-0.00325348227718988+2.55694248795475e-06i,-0.0140311581054084+2.04506164722573e-06i,0.0507332906053557+5.06009246219053e-05i,-0.0326216629289957-2.08712673203652e-05i,-0.00237432081970213+1.34689037629559e-05i,-0.0304248168797044-4.42715351125541e-05i
