-0.0144664786759592-0.000200665214723931i,-0.00240326082399291+0.000135029025347295i,0.0164923461954393+0.000757318065664645i,-0.0290426616342512-0.000292477059551631i,0.0418538317720356-0.000267182371168281i,0.0196064545463216+9.45518693737705e-06i,0.0260237902475075-0.000352536233038248i
-0.0292437650830518-5.69213827007687e-05i,-0.0104780719183813+0.000138763200510728i,0.0492312837403148+0.000151734655838708i,0.000202012118762253-0.000466175208712743i,-0.0582004843721057-9.51041488774982e-05i,0.0104282523415941-0.00043218024181453i,0.0161201815198934+9.46604829963209e-05i
-0.00402466257260542+3.40256209326379e-05i,0.0254365619883637-6.09760702449739e-06i,-0.0108854775211792-2.40985037984032e-05i,-0.0154986062548616+0.000312201028216372i,0.0171862847059636+8.26277893635811e-06i,0.000345976193727205+0.00026124156793969i,-0.0425136153822408-0.000114847106659569i
-0.0326238300322053+5.26078076528139e-05i,-0.0895507685669967-1.097311809431e-05i,0.0395519802457652-0.00027759866671042i,0.0135722801474592+0.000256004821418336i,0.0372659352271489+9.48513453664382e-05i,0.00285401463993704+0.00012557528640754i,0.0297660280015098+0.000112109731729896i
0.0176833322051881+2.04932217856514e-05i,0.0359680820884841-6.10980728767371e-05i,-0.0601509178968651-3.56524989886379e-05i,-0.0036916765032484+0.000527287010784191i,0.000324328546755694+7.59415933895884e-07i,0.0154807743686069+0.000473707959819433i,-0.0259783351100556-0.00022918463976531i
-0.00781835683149167+1.62448136053704e-05i,-0.0537915051519052-8.34071142731701e-05i,0.0284934153310267-0.000169139602366845i,0.0211431138218957+0.000487833474811482i,0.0157782411372811+5.6484133072965e-05i,-0.00586992711538685+0.000430897682087378i,0.0386604991799229-9.69494135205319e-05i
0.000395387358406036+0.000141429054555485i,-0.00848623479640086-0.000231933102701901i,0.0133967377117822-0.000376949705607944i,-0.105824887897268+0.000370989067161304i,0.0374774373065827+8.62243103397984e-05i,-0.01445522893593+9.41099724954607e-05i,-0.0441621782248852+0.000134749369979166i
-0.00875739299484417-6.28315809769844e-05i,0.0241904474851499+4.37547563214897e-05i,0.00308934101954352+0.000250934467391399i,-0.0841233900260562-0.000251385307531282i,0.00182222516433472-9.72052347140181e-05i,0.0258419472794823-0.000194129693985611i,-0.0209400551392046-5.20262737257903e-05i
0.00706979308637949-0.000105348905234822i,0.0114037787166781-4.8913184695696e-05i,-0.0188132482948734+0.000408693211338128i,-0.0277812170531479-0.000241511734531976i,0.0179115787915231-0.000146447194322951i,-0.0614598602367714-5.6889675509243e-05i,0.0358467727140303-0.000191104883910269i
-0.0278513991725454+7.88518375734423e-05i,-0.0399400290860282-8.45329970102118e-05i,0.0736416124401414-0.000329270568669373i,0.0392459325433902+0.000117814309596124i,0.0566722231155667+0.000118682408935337i,-0.0165069855583232-3.93943050201967e-05i,0.0722181543970995+0.000181549862528373i
0.019279674661338-3.54908344411754e-06i,0.034516034516857-8.02924146815379e-05i,-0.0739455582691417+0.000108004598272657i,-0.0474664984575182+0.000121007564346369i,-0.0493839274270376-4.99062005488422e-05i,-0.0100254307133138+0.000135249336313003i,-0.0153268816067135-0.000139088258905039i
0.0120927066819417-3.0300740800591e-05i,0.0619662591391883+4.51098230673688e-05i,-0.053777986239079+0.000169834719692923i,-0.0210896694552043-8.94543462966884e-05i,-0.00965175754110321-7.83276864166946e-05i,0.00884194391256561-2.81978211153479e-05i,-0.0599064607736252-7.35813679953555e-05i
-0.0478863370646581-4.96430837008766e-05i,-0.0570024044648021+7.79700262987653e-05i,0.10003814215991+0.000118658346719871i,0.0630203143465847-0.000124840830437312i,0.0284622968536085-7.8344158910658e-06i,-0.004766832535883-2.82442838739693e-05i,0.0949650283402497+8.41762442502063e-06i
-0.0110676058389492-4.21024610190327e-05i,0.0233599912310218+3.20048058941481e-05i,0.0064508433541325+0.00022517215993089i,-0.0181628513811175-0.000109566486226425i,-0.00396336215915824-7.24415452743684e-05i,0.00968927743040599-6.33615609293984e-05i,-0.00175092298809228-8.03906950895712e-05i
-0.0117359512631116-3.16452484619596e-06i,-0.0260571075865521+5.2308658644483e-05i,0.00291526727772408-8.09295532353862e-05i,0.00547709995424757-0.000176207828212803i,0.00751449938771817+2.45919389588704e-05i,0.0133197763790078-0.000143834043214703i,0.0208350423675131+0.000133952558245944i
0.0106495580573903+2.40319576609782e-05i,0.00414767747814977-6.38595741658156e-05i,-0.0275370256468996-6.31483412844468e-05i,0.012077227222451+0.000206879593875051i,-0.0310620333883379-6.04667690294733e-06i,0.000890891616325014+0.000179381959809103i,0.0189502691708069-6.32197180428959e-05i
-0.00749729163967434+7.02693997122636e-05i,-0.0199633126067954-4.5292910658722e-05i,0.0151066803779682-0.000269341552839854i,0.00550260543366712+0.000223673002023843i,0.0268733197904811+0.000128563425360196i,0.022210758842614+0.000115469510669383i,0.0451121783493804+0.000110544687641031i
0.0146362529520797+2.09497251729338e-06i,0.0369873155178849+2.29340251947189e-05i,-0.0265549720930409-1.73671661849053e-05i,0.0315714489623868+9.98281910115325e-05i,-0.0530705510590453-3.01468185510564e-05i,0.00633983449032213+6.30716362650079e-05i,-0.00931874543574474-8.40918966737205e-05i
-0.0118130998221935+3.29710762676819e-05i,0.0152532475409284-2.1719147178716e-05i,-0.0036056441810408+5.09512861924017e-06i,-0.00545462016028436+0.000514624953442383i,-0.00112927936714283-3.31741895100452e-05i,0.0464395913416988+0.00043375693837612i,-0.00518438427440523-0.000216950755311359i
-0.013129264828956+7.2336345955845e-05i,0.00268132938752938-6.25571402089466e-05i,0.0449036662680321-0.000210031654270799i,0.000569792923344625+0.000192570928413733i,0.0445731645333061+7.21138682895141e-05i,0.010607790446926+8.11988666010952e-05i,0.0599960218070975+4.76820501623123e-05i
-0.0182619009103702-3.17223465607279e-05i,-0.0292709127909924-3.99727994762436e-05i,0.0790879416735008+0.000133453242605636i,0.0381234844396486+9.65426459848389e-05i,0.0898987540076417-3.43588428929488e-05i,-0.0122595465435044+0.000160615303586953i,0.112509354278982-0.000106132727607569i
0.0444427760841177-7.80410401230222e-05i,0.0384615014001147+0.000133636109334349i,-0.115979533014096+0.000130091023775232i,0.0690618527633558+0.00017429556451349i,-0.0939675550062066-5.41362080340292e-05i,-0.000733573648871908+0.000316270526342831i,-0.0887245577028854-0.00026753586168069i
