0.0242665346442975-4.64712917720692e-05i,0.0384183500563286+8.74996327316247e-05i,-0.0400711378211304+0.00028463623992386i,-0.0336387082476362+3.34539176345844e-05i,-0.0208560915356563-0.000113868352228689i,-0.000575997601258578+4.36339993295077e-05i,-0.0376581498933878-0.000194779961032725i
-0.00518280982537239-3.33792774849528e-05i,0.00195663995238644-1.03180712135066e-05i,0.0884608039233532+0.000361853328498651i,-0.045582445137173-0.000335854858920485i,0.0384921973155484-0.00023354159250419i,-0.0268056179609924-0.000395290425959231i,0.0108636994991321+8.37306691888989e-05i
0.00196107155439876+7.76769209073411e-06i,-0.0511330501898334+1.52450659619096e-05i,0.0355756881554196-0.000223060829721367i,0.0347130797080048+0.000103150319042645i,0.0403123507620167+0.000104336407288349i,0.010063674446723+0.000117311703878364i,0.0171310406934786+5.26067183541488e-05i
0.00701953577879488+5.34597439159971e-06i,0.0553920505244422-1.61229296143765e-05i,0.0117248393378724+0.000144427058141122i,-0.0282152306661739-0.000278574382653417i,-0.00241122786413046-4.98128501893985e-05i,-0.0187592429056397-0.000203521965107983i,-0.0235515934197396+5.75426692193912e-05i
-0.00173740827411629+0.00011570403633668i,0.0197481933744976+2.39006261028177e-05i,0.00465169820287109-0.000547650731143385i,0.0148309208089672+0.000153990145226434i,-0.0133529671282211+0.000364081482167435i,0.0392472053657534+6.36551179667114e-05i,-0.0420476925606189+0.000214339392308915i
-0.014426811393678+4.54953380093137e-06i,-0.0292915817125825-4.2793389548936e-06i,0.0252758647688329-4.05434267723103e-05i,0.00614261732534052+2.71928708552864e-05i,-0.00129465598690923+4.81895949400405e-05i,0.0189537977777365+0.000166002624272003i,0.0608560785694333-2.40565821854615e-05i
0.0073269439847035-1.66434542554779e-05i,0.053510433386049-6.32292688016244e-05i,-0.00300897987567516+0.000271754013834183i,-0.0302328641955151-7.77714459572988e-05i,-0.00920918888471603-0.000157869269053237i,-0.0202337132721734-0.000164953392977071i,-0.0499908734947893-3.17723590679216e-05i
0.00764120333353964-4.41042615638661e-06i,-0.000147197715950616+0.000105604732579736i,-0.0270862153575441+5.69912724744971e-05i,0.0201215648870974-0.000249566596375699i,-0.00688096574830107+8.96221718871267e-05i,0.0353742423644874-0.000137444313480679i,0.00446416369758123+3.01952290237273e-05i
-0.0103592905347836+6.73449269423733e-06i,-0.003933615396069-5.35884293072806e-06i,0.0451491361782614-4.49273072361193e-05i,0.0168375255254948-6.36675224743425e-05i,0.0219376413665729+3.30435612146895e-05i,0.00597786661551585-4.03098536301751e-05i,-0.00575788812707916+7.7823371938592e-05i
-0.0204574120286508-5.42961699726935e-06i,0.0303506305838865-0.000128367735184813i,0.0232130002878014+0.000145977739530812i,-0.0318724392712583+0.000267027463933756i,0.0213277900996701-6.86391447987944e-05i,0.00236752122328129+0.000239746373978746i,0.00880283294993858-0.000114172325597355i
