-0.0822515065957112-2.68220533938701e-05i,0.0167501500588431-7.43956874028077e-05i,0.143968206941883-2.95320739931181e-05i,-0.0669105710589302+5.43360944882335e-05i,0.0628147773814934+6.67594744379078e-06i,-0.0177793361969905-7.58371579727235e-05i,0.0839996311150369+4.86544005727099e-05i
0.0169098329829168-7.54263134898925e-06i,0.0358311497963895-8.36783657084425e-05i,0.0112893910246564-3.42195608687415e-07i,-0.0264430781464525+0.000161226604039883i,-0.0499165574142371+1.58202117011745e-05i,-0.0266943960213514+8.8155472203549e-05i,0.0529397883252189-5.49392513826826e-05i
0.0584326268411733+2.53236881427365e-05i,0.00187416662172352-2.43766195483843e-05i,-0.0460574987102408-3.6271318447182e-05i,-0.0369678208598197+0.00013572103782871i,-0.0322602777752984+1.86554245623488e-05i,0.0322538702840779+0.000105583608857559i,-0.0529514351865795-4.15169287670685e-05i
-0.000653171533062512-1.51550765487776e-05i,0.0154089380365717-2.72958212101842e-05i,0.055697515694073-4.01624716771184e-05i,-0.0284943404786206+4.3099983019513e-05i,-0.0202281562934117+9.33231991975499e-06i,0.00148149263739206-1.82389608973015e-05i,0.0103150332184299+2.26534439686983e-05i
0.0706170624954649+7.93641367769857e-05i,0.00403810032330863+1.05942001820815e-05i,-0.133303028606366+1.82833928881467e-05i,0.0382136415801216+0.000137479718428755i,0.0312427723267594+1.35292716627019e-05i,0.0254797997649957+0.000240088709878846i,0.00429635257240518-0.00014324370937129i
0.0317597029141554+1.46495213428368e-05i,-0.0307735245992992-4.63056137787459e-05i,-0.0519694936748621-0.000146746623777858i,0.00819307619530856+5.75682530882745e-05i,-0.0622283666337131+5.86004823806701e-05i,-0.0090357968366363-1.25995321542387e-05i,-0.00454218182726778+0.000100745634010859i
-0.00854449721473612+7.59250683893715e-05i,0.00346066210602419-6.00015686241399e-05i,0.0113624200109186-0.00017693602152366i,-0.00643850109859531+0.00021206100710821i,0.0600359849169215+5.6747919247061e-05i,0.0560629707307879+0.000134387548296091i,0.011136736752641+1.69081992994067e-05i
-0.057162927329878-3.58587323434518e-05i,-0.0220510267205489-3.14478262750048e-05i,0.105779426510339-8.48306544257069e-05i,0.0341575300610443-2.65131703705015e-06i,0.0375460928347342+3.75679680573106e-05i,-0.0544479496321389-9.59794006991193e-05i,-0.00559873607637145+0.00010659891185062i
-0.0340589241787064-5.84035855427534e-05i,-0.00557175603348514+0.000124173256929418i,0.0428376174983249+0.000254010762367165i,0.0473318533788674-0.000246626103415595i,0.0150129407032772-0.000102790919936367i,-0.0268114143250812-9.37986444926846e-05i,-0.0289649756263939-9.46820010262164e-05i
0.0203004169057402-8.88923229431868e-05i,0.0264218458046496+0.000208451810652092i,-0.00309664163544536+0.000449185516273244i,0.0123940772258939-0.000395310752564983i,-0.027357623752638-0.000168692331224357i,-0.00390803766074535-0.000140505946375184i,0.00643356561601175-0.000178115482315225i
0.0600370857926827+1.07206292808363e-05i,0.038206904514039-8.82093287852746e-05i,-0.0821880962376841-0.000156678405326549i,-0.0583518127392921+0.000103024668228783i,-0.028294374351836+7.10657167292585e-05i,0.0264758368976657+7.18991268900738e-06i,-0.0485126929061069+9.5629128214982e-05i
0.00486905580877365+6.56027304603791e-05i,0.00546110123468292-5.38415057324815e-05i,0.00351484533365102-0.000121779363550044i,0.0210956252383165+0.000201700647866033i,0.0149067724180829+4.70174519892931e-05i,0.0425372184924744+0.000162700337977372i,0.0665162434797568-3.40104841141268e-05i
