-0.0118619312089925-8.26442013856494e-06i,-0.00519370714657459-9.94651237177476e-05i,0.024654008347746-6.97687640409426e-05i,0.0140325450780327+0.000179587601951842i,-0.0202731358042722+0.000105313030993206i,0.0193738143839684+0.000240244129990876i,0.0267199334064218-8.7525863367128e-05i
0.0132598784085325-9.66894134207668e-05i,-0.0156239056026247-0.000173841093270973i,-0.0416578336042298-0.000274747822508612i,0.0257917900301763+0.000346820960290521i,-0.0321731195037639+3.60031218894103e-05i,0.0174397906204741+8.17858917420257e-05i,-0.0236854260692009+0.000242018973152787i
-0.0194169495497002-1.21582582654505e-05i,0.00911722948984578+2.03765069518462e-06i,0.06607780051003-5.38941996303143e-05i,0.0478176182328071+2.46100754051025e-05i,-0.00641170321319992+0.000132096362031498i,0.0552079931516559+0.000139623348245307i,0.0194461888657104-9.55454931595654e-05i
0.00751281063888718-5.16482104160463e-05i,-0.0244556672948187-3.83710169603116e-05i,-0.0304813398778571+3.5810571793731e-05i,0.0488147314912167+0.000377067680908588i,-0.000335879820284189+4.18563356320034e-05i,0.0429038169774255+0.000582699414529852i,-0.0206656510911588-0.000277651604412703i
0.0191610510865592-8.15625031311861e-05i,0.0300132010044328-0.000284441611602834i,-0.0502006848785049-0.000156818775903882i,0.0159364661666542+0.000178377238735003i,-0.029137743801325+4.33317411475181e-05i,-0.0172187686652281-0.000106526665869571i,-0.0315206729729677+0.000203794657064063i
0.0434156125749127+3.51896120203642e-05i,0.0179614522492833-0.000238511886524232i,-0.0801373295202755-0.000110492246278409i,0.0460415621492478+0.000215866042583297i,-0.0358773737826614-5.83437066470393e-06i,-0.0923582014987587-9.19852596183749e-05i,-0.0836973479472327-0.000145902626920965i
-0.0586306525839812+4.99321094083856e-05i,-0.071424067565211+0.000550381153264803i,0.100645161321693+0.000116131077522705i,0.0717354723229455-5.10864269095144e-06i,0.0456364648808346+0.000118724311117426i,0.127325067974077+0.000762890872856804i,0.0993083369575204-0.000589577873976972i
-0.0187477292499818-5.41378404365141e-06i,-0.0190078783240959+0.000228923477902185i,0.0275459505435705-7.0400805077169e-05i,0.0367510194793996+0.000106657728342179i,0.0640430548040544+6.19686787263768e-05i,0.083655709311135+0.000222127887876756i,-0.038922318396547+4.71423455630547e-06i
0.0174539279954078-1.69337364393513e-05i,0.0261390311988914+1.23049129004467e-05i,-0.0442740057881924-9.0659172662926e-05i,0.0521814967061371-7.09248942749924e-05i,-0.00547792340098779-7.06194826833323e-05i,-0.0590241515207683-0.000217489996306352i,-0.0212225738075686+1.6933925723597e-05i
-0.0291391769632863+5.8249592605921e-05i,-0.00761459669441733+0.000179350491153117i,0.00576543475037424+4.58949766594972e-05i,0.0221754344288258+4.76672821290512e-05i,0.0572519675673276+5.31924861361523e-05i,0.0203303597503514+0.00035954961956003i,0.0451819215226102-0.000255680581714087i
0.0314412511670992+4.3635418172167e-06i,0.0281249011685521-0.00031089848403688i,0.0515828643938864-0.000116718791480993i,-0.0858199883892247-0.00031469648032309i,-0.0661534572868721-3.40637124296841e-05i,-0.0627077320090276-0.000915220158100952i,-0.0524984419010887+0.000603670719631511i
0.017583358395381+9.8630009541279e-06i,0.0575458103903641-0.000157710716984571i,-0.0269529457908136+2.85415967581221e-05i,0.0432908133531524+3.108323477598e-05i,0.0254275578763734+0.000103575796912268i,0.003389298200969-0.000102591931288352i,-0.0880619514455182-8.32251810698463e-05i
