-0.0010483711044601-3.93406840412851e-05i,-0.0180503498295449+3.36604819462225e-05i,-0.0230133426894634+5.91211122547007e-05i,-0.035045384105695+0.000312737321072007i,-0.0155662786938307-0.000135339292555475i,0.0151675711052941+0.00014227041801267i,-0.00984811510895861+0.000106985927125268i
0.00204080692235267-4.60354343054717e-05i,-0.0290324754447453-0.000205012650587973i,-0.00684013609197805-0.00040207132865701i,0.00969367424814857+5.17748409801625e-05i,0.0562597470415505+0.000110637695116123i,-0.0392721178294672-0.000387223703414858i,0.0296970836605189+0.000196396937107355i
-0.00875861201516758-9.35619782107615e-05i,-0.0810963637572395-0.000101081544798025i,-0.0334167988251236-0.000422202150719753i,0.0579924907159457+0.000195790766472091i,0.0832874618697252+6.33153028599072e-05i,-0.0289422035313716-0.000497637102194241i,0.0573651983842512+0.000165207105382838i
-0.00362540081108736+0.00010750177885679i,0.122865410344297+0.00054769369411571i,0.00454769403728299+0.000664457768079426i,0.00140368045567868+0.000472038267998294i,-0.0851684172665497-0.000473271938187695i,0.0671155767324209+0.00107212641312587i,-0.0233200876094957-0.000817869895356478i
0.00226811600725361-5.64333436885923e-05i,-0.0214015509045901+0.000472766211264283i,0.0304237889713004-5.43403319771418e-05i,-0.0240122677814116+0.000136068099199497i,-0.00921952056767012-0.000355793693204425i,0.0123318630247529+0.000324033791936465i,-0.0249253995676145-0.000330230245198126i
-0.00521068988114966-9.76713208348146e-08i,-0.00332095611115375-0.000365447079750066i,-0.0398275300404289-8.70092357045535e-05i,0.0248993353020257-3.79361728081746e-05i,0.0200726818248938+0.000393925854751413i,0.00458929052331755-0.000148714214542836i,0.0156479159452348+0.000343695908057963i
0.000712342206479214+4.24414737257499e-05i,0.0227742944868193+0.000169018638717576i,-0.00788939771778503+0.000290571015623037i,-0.00509780835174851+0.00022019035164081i,-0.000743785146286249+1.96477710417729e-05i,0.045503264991026+0.000560119780381899i,-0.0297837821229515-0.00023537956833652i
-0.00225367364427462-7.67996195195225e-05i,-0.021154358635097-0.000107132197848114i,0.0358710735800776-0.000527951078724818i,0.0192512250345979-0.000586215753932826i,0.0054726085494991-0.000186997446103103i,-0.078984470135275-0.000757344257320947i,0.0604628371858099+5.1341122462317e-05i
0.00532830150165477-0.000110800940093097i,-0.0650783961603616+0.000169333460465243i,0.00874003940457688-0.000169806471937564i,-0.011716170870904+6.41693153962603e-05i,0.0504082230635815-0.000267287494175949i,-0.017283265254665-0.000446419062810701i,-0.00130952704775186+0.000169644139250822i
-0.00423009983831434+6.17394125344985e-05i,0.0719587668371167+1.72844409913897e-05i,-0.0119345115042559+0.000424623977578149i,0.0228234041863338-0.000157643168550711i,-0.0500518790997465-0.000103364022679539i,0.0217507839531993+5.16312030203357e-05i,0.0121213942241677-0.000131422335792511i
0.00939047863487222+2.16797476089227e-05i,0.0188692301990709+0.000285651243657746i,0.0220990036782119+0.000132671925154269i,-0.0440329095151798+0.000275043360973591i,0.054155617436788-0.000667184736960237i,-0.036415378177641-0.000163587224046501i,0.0116223980857534-0.000510412756887638i
0.00645488889197673-4.89570046860335e-06i,-0.0244269886388147-0.000191793837532081i,0.000399522056433412-0.000385030514496123i,-0.0183404331489492+9.97144097306966e-06i,0.0455152848915386+0.000337043899698196i,-0.00612843180516279+0.000197735244857647i,-0.00956627107780835+7.61990271743922e-05i
