-0.0182682803675864+4.92840972202633e-05i,0.0161718607381458-5.62294939557335e-05i,0.0279583121956609+5.51451046650238e-05i,-0.0319878369224158+0.000124946196643622i,-0.0795325676984751-4.61297946242805e-05i,0.0594879437113294-0.000150792060404493i,-0.109379668117522+0.000200544627651548i
-0.0155751503517695+0.000111267471921865i,-0.0113666762158252+0.000276262049746229i,0.0590353190209458-0.000304734047045729i,0.0385309135723349-5.7441808953153e-05i,-0.0458436711625186+0.00042828741212133i,0.0651123521644831+0.000288715739915525i,-0.0849259425862734-9.32936779830144e-05i
0.0268771369228077-8.40945892181268e-05i,-0.0169091518470618+2.52358466801534e-05i,-0.0844146661287207-8.2958500606225e-05i,-0.0429564671763033+7.31031681343692e-05i,-0.002347522069486+1.36232851631396e-05i,0.0326182276200908+9.9404230641034e-05i,-0.0198167741673456-9.42515217283003e-05i
0.0262337068555167-5.71415624719218e-05i,-0.0371737108962339-0.000249025464011643i,-0.0472844347274237+7.26996791664105e-05i,-0.0332599176758356+0.000192804276193899i,0.0442065304107879-0.00012975966239064i,0.0160163567681854+0.000179573445153332i,0.0946841367548696-8.2862570643441e-05i
0.0119932831711536+5.01240866781014e-06i,0.00711212275820051-4.18725085381696e-05i,-0.0264262992865535+0.00024755248920317i,-0.0475961862591502+0.0001765840491149i,-0.0291221702228993-0.000199629131391985i,-0.0554399286241753-0.000113478252371055i,-0.0398037191418316+1.85910718986272e-05i
0.0141773424064307+3.64685678994287e-05i,-0.0113799039897255-0.000162757533223779i,0.0724615755634426+4.27820185139064e-05i,0.0240874865766706+1.98121828153152e-05i,0.0348242465404508-0.00015258324744922i,-0.0119231450133755-0.000203748906529001i,0.0165243062705563+0.000222671331383283i
-0.00271711126164963-1.99647465428823e-05i,-0.0209593049113225+0.000120837269380008i,0.0437239177721391-0.000124781234282122i,0.0507110802616315-1.36343989645711e-05i,0.0275572165489072+8.8565335573715e-05i,0.0107586506442054+0.000133811415685988i,0.00693569999028893-7.3274361301799e-05i
0.0129419343961177+7.86156441446158e-05i,0.000304934789637819-8.02617144543454e-05i,0.00767138817056531+2.13576040178438e-05i,0.00233277065046934-1.64100526931062e-05i,-0.0217266289462477+2.18516846418118e-05i,0.00441451186129361+6.61334446608459e-05i,-0.0278317589348387+1.64714921337792e-05i
-2.49331735526053e-05+9.38874323213495e-06i,0.0223288785279635+0.000257753509667173i,0.010425337260082-0.000263528739484789i,-0.0116546716984777-0.000141572028076391i,-0.0123900935864387+0.000392826307337656i,0.0106253814769357+0.000205595621808235i,-0.0293475987369854-0.000152603094620776i
-0.0163530528872024+3.64686806402509e-05i,0.033971197751576-1.37680226328256e-05i,0.0368298711613656-1.66282785857435e-05i,0.00471702600092781-1.86548760312003e-05i,0.0172671548091216+0.000160041304718601i,0.0140396859746578+0.000161220860961044i,0.0312964548280384-7.63070684049483e-05i
0.0177528094764412-1.69071215376841e-05i,0.000209922021797285-0.000174745148087044i,-0.0218440813851474+3.82330345922539e-05i,0.00735089733634494+6.88536155458327e-06i,0.0127012889929138-0.000198395598912553i,-0.00685033360904129-0.000227553089651986i,-0.0403157440684412+0.000163726829720713i
-0.0014627122374689+8.13185376378687e-05i,0.022494329386221+2.52203496490966e-05i,0.000666032125603256+2.28692714927341e-05i,0.0208505761718766-4.00168713395232e-05i,-0.0118143555929076+0.000182667862189438i,0.0622092667164149+0.000109687529322951i,-0.0262407810868257-4.43727096183797e-05i
-0.00508351924302222-7.65170948032791e-06i,0.00460087787047313-1.84545889751981e-05i,0.0379836041466805-9.39670983237332e-05i,0.0408470327779038-4.20280323671968e-05i,0.0268076217636479+3.99995310651217e-05i,0.012159265508787+9.81325303851116e-06i,-0.00808545143866505+4.1696679209035e-05i
-0.00717586170430713-2.39617652730608e-05i,0.0507646550779107-0.000183130832414611i,0.0333527569248346+3.86635893585869e-05i,-0.0267615191869267+0.000165282209153107i,0.0480540869839479-5.44135544267541e-05i,-0.0104455043259348-4.0315305121592e-06i,-0.0195013200664023+6.69768540825897e-05i
