-0.000326881410906171-8.02202642062419e-06i,0.012535094366071-0.000215822865145255i,-0.000217187474553311+8.88750716921067e-06i,-0.169710537129741+0.00022730949124523i,0.0809996250916458+6.70921524466731e-05i,0.0394733772633592+6.30879999040025e-05i,-0.043698582976753+0.000157925146837634i
-0.0352890016819512+8.58962155170961e-05i,0.0418429559494641+4.65052064515718e-05i,0.0073852384429139+0.000100970618505664i,-0.0586820571790614-0.00016516562455197i,0.0237734601678797-7.69094985332713e-05i,0.152221481014574-9.7548692192228e-05i,0.0141035903566973-4.89778370035807e-05i
-0.0173813758225519+7.18230951522655e-05i,0.0167201103194106+2.2162266365405e-05i,-0.0345342216340742+6.36071108485057e-05i,-0.0305078487659476-0.000108661067875639i,0.00895160035937118-6.22248341991191e-05i,-0.0545022438859062-3.89874067001119e-05i,0.0700562634540087-4.67992423801387e-05i
-0.048292481298917-7.19169693291201e-05i,0.0901190996250201-0.000121596064575405i,0.0382880150969623-0.0001557816430501i,0.0658145816420602+0.000265996660247168i,-0.0275749926003913+5.32149870971725e-05i,-0.00599813323136548+9.22466808681234e-05i,-0.0441501515613403+9.22871001239119e-05i
0.0394842381246026+1.83670859286005e-05i,-0.0768919894593607+2.03311164176732e-05i,-0.0412419218641966+5.87564366562762e-05i,-0.0404791867375783-5.89303061689131e-05i,-0.0136747901078446+7.49853061272919e-06i,-0.0179648409206063+1.79652914129107e-05i,0.0669603144356755-3.74621425002724e-05i
0.00819581862216882+8.01810410033099e-05i,0.0684590899017876+6.69766174137167e-05i,0.0357867464553082+5.36627009296293e-05i,0.0320521070114122-0.000193913296629567i,0.0970719725834016-3.36515406183268e-05i,0.0318600982055917-7.02280672497441e-05i,-0.0246561018612029-7.23638563911745e-05i
-0.0676092370377665-3.24283355761017e-05i,-0.0170275864989535+0.000110641721783653i,-0.026120962176048-7.62075124024786e-05i,0.139948696027429+5.48420296777941e-05i,-0.119757479597274-8.0275430411603e-05i,0.0020978759179131+3.20751496415451e-05i,0.0373221999566742-6.3970764153378e-05i
-0.00224873307113459+4.57766688913796e-05i,0.023056327785412+5.74990331611298e-05i,-0.00424125140395944+9.82087168095469e-05i,0.0109238948275071-7.52073742067212e-05i,0.0286283685268241-8.19750861463805e-05i,-0.0434642551517663-5.26654892242848e-05i,0.0103801804511087-8.91401457899168e-05i
0.00601307435099521-6.40100687491549e-05i,-0.0694565955174795+2.43680376685667e-05i,-0.018022516900982-1.44183358199724e-06i,0.0179231412961746-2.30321430858533e-05i,0.00190003699894037-5.13808890470425e-05i,-0.0471579728183827-0.00010680665320587i,-0.0328206556408904+0.00010821813374632i
7.50309696800217e-05+1.94702774569016e-05i,0.00830997907117856-1.26063798392994e-05i,0.0413148516959099-5.58147070906399e-05i,0.0358070028701395+7.1627840991725e-05i,-0.0410075319099042+1.21933785473874e-05i,0.010105213359104+8.67126114707021e-05i,-4.5475079296013e-05-5.89852307930055e-05i
-0.0455293272045428-7.68556994723024e-05i,0.0270504285851309-7.59637092120407e-05i,7.04106506542623e-05-0.000135046634383959i,0.0678537111901297+0.000156086572448216i,-0.0177056154505751+4.29827164170804e-05i,0.0891677824302973+0.000110617759634276i,0.0245721160695091+8.75908223355921e-05i
