-3.40815116244329-0.00369374890421368i,0.25987312318262+0.0633525364836051i,0.350905566540424+0.0421121306261578i,0.102261180293944-0.0112194647161561i,-0.309780270206076-0.0344945762337895i,-0.00434525812973222+0.0101650615385094i,0.0285452800618273-0.0112456904815982i
-0.00589088283816199+0.000122398516998455i,0.0207775098345567+0.00225353724251925i,0.0282813840520314-0.0107359550701368i,0.000309792605793854+0.000542726007152562i,0.0332583629034781-0.0139316664703254i,0.0280226734514245+0.00868180004940308i,0.0214352461025786+0.0143180148573319i
-0.0326688658839523-0.000367333695351738i,-0.00598404251591513+0.0103263559945753i,0.0108718908529023-0.0245102285136384i,-0.0337434524424811+0.0121378027329412i,0.0238156181106933-0.00854116903241451i,-0.000741001089845739+0.00649344818389799i,-0.000620463922077933+0.0125367845513971i
-0.00213337022372295-0.00342790242180897i,0.014260370034287+0.0218700618127698i,-0.00370805693492889-0.0350836922690316i,-0.0222595962426171+0.0175917411151265i,-0.0195948483574205+0.0134200232446267i,0.0409048387798441+0.00649431373502304i,0.0294691660620873+0.00562413031161618i
-0.012292634991765+5.96251988536892e-05i,0.0334830278761548-0.00139076719955924i,0.0218087719462389-0.00619588888693441i,0.0392981644195642+0.00632605616960006i,0.0314801281545215-0.00755530912103338i,0.0294279534113209+0.00170679613977024i,0.0215813588095514+0.00611810583912852i
0.0193254184373302+0.00245940169132453i,0.0280590046754257+0.0143723603469822i,0.0521418976910921-0.003641885866466i,0.0569969724399371-0.00768523883541883i,0.00201652134461132-0.0128092844828192i,0.0073488736672956-0.00656156094425609i,0.0524359173592902-0.00628846467666637i
-0.033621392083131+3.15580940969505e-06i,-0.0622116005586805-0.0219728351954224i,-0.0219166412532198-0.0099947176948613i,-0.0594744359535533+0.017240717981838i,-0.0111776306381948-0.00785430529117436i,-0.0135481123606998+0.00770084403224816i,-0.028929420484347+0.0198605055234692i
0.00893127502118983-0.000808128443176121i,-0.0287039641319973+0.0162341172011829i,-0.00843302957418067-0.0358166249779856i,0.000431470913435395+0.00436397275821708i,0.0109313035360946-0.00432808640726309i,0.0302320504814488+0.0107200802045772i,-0.0312983475439849+0.0192683424896643i
-0.000723191167515349+0.000395343695428994i,0.0316732199582067+0.0103743531449781i,0.0261585597068348-0.00838164617329685i,0.0346648416982634-0.00330411765774195i,0.0466914783109103-0.00612759800250571i,-0.00192068614934348+0.00106647335883472i,0.0134937563266777+0.00291488890638728i
-0.00510070957748706+0.000473596999625618i,-0.00869940355584911-0.00156407707527914i,-0.0132385004736921+0.00290231341080467i,-0.00928959129465711+0.000244351278723873i,-0.00297674226624722-0.00500221056284931i,0.0039240713425318+0.00173248385764829i,-0.0306431941119184+0.000865619321265485i
0.0140368316018027+0.0023476649644958i,-0.00676071379803968-0.00323847656748883i,-0.000801029464610593+0.0061600993534444i,0.0261548787990424-0.016136554635495i,0.0174841594501779-0.00727012994884608i,-0.0439325893501668-0.00355897170737432i,0.00893004779003753+0.00412203672790177i
-0.00162979782910643-0.000923019971235166i,0.0204595339751767+0.0340519591507626i,0.0395504669675273-0.0329276886154137i,0.0165873422171794+0.0162097010696704i,-0.0256586190119648-0.0118568508583786i,0.0248388420051833+0.00618016253496843i,0.000430623789156015+0.000950074547342293i
-0.00820130735262776-0.00052875414951038i,-0.0222457179861143-0.0145669387719184i,-0.0246462221221981-0.00096912801507704i,-0.00360902639601627+0.0124834257939718i,-0.0181995950093545+0.00296132181127392i,-0.0502575566435629-0.0030485316786458i,0.00376223728927919+0.00288192399721244i
