0.0174956635097494-0.000724836064364074i,-0.0364680656314914-0.0367812484728973i,-0.00300161666694791+0.0433496665486907i,-0.0320596904814108-0.00269768352892678i,-0.0738233718794373+0.00770422095906159i,0.0324310935681362-0.00514334290217415i,0.0044215746588973+0.00208032735048373i
0.0123078544661643+0.000892512321934059i,-0.01125109477557-0.0312933320964668i,0.0230201563153504+0.0358335778808543i,0.0310747919481127+0.0132548979068851i,-0.0406578202580911-0.00541515816671943i,0.0165400509100545+0.00227668461112572i,-0.0128830347683762+0.00300940999972915i
0.00401659467463748+0.000304017694718626i,-0.0340394264076936-0.00398956356811334i,-0.0067330858734195-0.0335913384534461i,-0.010013468068725+0.00295468617384366i,-0.0271623175717254+0.00553362018595487i,-0.0371615782315039+0.000833502592446709i,0.0628370859601378+0.0319108894012412i
-0.000402687660045809+0.00145076214982751i,0.00740238133437379+0.000306685600864173i,0.0229450349831267+0.00229985112013158i,0.00945516544260813+0.0211824212249768i,0.00801851121245022-0.0216161974181759i,0.0385904962381338+0.00761514272408206i,-0.0334693228233618+0.00491623091606961i
0.0138648429416814+0.000938465920855219i,-0.029999157459475+0.0127846547834967i,-0.0324818159022406-0.00658386695735249i,-0.0618441597873903-0.000260458841156727i,-0.045320327040475-0.00163495407413894i,0.0163812730846778-0.00481830570441618i,-0.0190399485777371+0.00656792375476135i
-0.00338874235377047+0.00135421567188087i,0.0543704521509324+0.0316232494131634i,0.035686020455584+0.0081630014348318i,-0.0310997418548146-0.0101518925092409i,0.027066802615295-0.0114449968834237i,0.0528096953648784-0.00143349711883977i,0.00573659091670389-0.0117675230800517i
0.00940755481963892+0.000912984796746824i,0.0026158236869311-0.0222111959950328i,0.00103795786625947+0.0401379472662727i,-0.064348660326598-0.0217068458119277i,-0.00819486357237711+0.0114073754217207i,-0.0075589495688928-0.00601695090008046i,0.0372535988502323+0.00263679914285074i
0.00207352044475285-0.00449384876203499i,-0.0279542431692195-0.0374589018977582i,-0.0284302766704717+0.0535203316183631i,0.0401433262295679-0.011588387076492i,-0.0121440520010546+0.0189157232037132i,0.096110230932284-0.00803080004073893i,-0.0683578104169488-0.0303606635086976i
0.00870815970078665+0.00019728390780159i,0.0137075640049999-0.0412753594323088i,0.0194913804452649+0.0419883022779083i,0.0636796774340418+0.00818346559381685i,-0.00578129770615591+0.00561088849210528i,0.0505075721938011+0.000912905999655219i,-0.000300580774023992-0.00811262563763998i
-0.0027442882348298-0.00168231001496286i,0.0155774269347785-0.0194433922327212i,-0.0230818713689638+0.0361370822474793i,0.00117117309833368-0.00902726626243133i,0.0196911871455355+0.011772324617077i,-0.0184871852799728-0.00656153785654151i,-0.0342810812136555-0.0276114216731934i
0.0155397147610726+0.00269035868366545i,-0.0266170036860448+0.0300418845911456i,0.00832644419715168-0.0286267840963925i,-0.00407847944007106+0.00474648949545056i,-0.0493392499217759-0.0128357324536163i,-0.0618531535579426+0.00954375454095284i,-0.0161785424262154+0.0103900569132905i
-0.0130628888953794-0.000794357274030847i,0.00253137854462346-0.0543669328886283i,0.000764725058925604+0.04220634367561i,0.0301935101925431+0.0116552843121916i,0.0417151754719394+0.00736110866469976i,0.016777500825966-0.00287256441161414i,0.00500067343301769+0.00419962487744512i
-0.0108256800273971+0.00152627942979799i,-0.0121752501930961+0.0240897614974505i,0.0255539736654048-0.0474645271437987i,0.0627022257700224+0.0344514634096509i,0.0148936838903761-0.0276200054552795i,0.037182219195734+0.014278263450983i,-0.0309186662849507+0.0139193862594831i
0.0217889807874661+0.0023519414105006i,-0.00890757185457118+0.00800030692365567i,0.0113175866182326-0.00835175011843361i,-0.0575802423607824-0.0128280854294681i,-0.0545519539505909-0.00255904155584791i,-0.0999658064090461+0.00336175991834692i,0.0515651567711353+0.0180151631481514i
0.00291737181488981-8.51517493530253e-06i,-0.0120709126557763+0.0226850602532545i,0.0148333966293459-0.034903371609321i,0.0353265593458818+0.0135454548467296i,-0.0292716237088009-0.0103070953346407i,0.00648840705269029+0.00352564821276293i,-0.00305717375044541+0.00902238388581384i
0.00217539580068613+0.000380622123058013i,-0.0199305140714709+0.0107400004491058i,-0.0264838264163251-0.00759294688324809i,-0.036797217997506-0.00230858851492887i,-0.0245820140378208+0.0069887534132456i,0.0115433808861615-0.00817147433883402i,-0.00294501344923416+0.00226636734703204i
-0.00611321619628448+0.000724937202311557i,0.00641895950387534+0.0103730421510281i,0.00881782790205454-0.00613670635099223i,-0.00366389627162872-0.0131034360245751i,0.016104402039362+0.00327003912396963i,-0.0326058373132809+0.00234979830054717i,0.0257909378989237+0.00413950826110968i
0.0141299399710434+0.00167389165879671i,0.0164052839236458+0.000168707263781767i,0.0478959204720531+0.0135213139066211i,-0.00351257101150171-0.00183999047089933i,-0.0274615250250558-0.0137128595561818i,-0.0139729766451571+0.00833747573717385i,0.0216231697687376+0.00567631087729984i
-0.00583961722369335+0.000914955049848736i,0.0348413280564032+0.0416883000894943i,0.0446574033838394-0.0499966201080498i,-0.00555614005632782+0.000757095327303193i,0.0221620385833633-0.0172578440499897i,-0.030111096271661+0.00901740116872972i,0.055207037648388+0.0156555303050229i
0.00600202217749794+0.00197199036521821i,0.0141789856262121+0.0316267347183861i,0.0306599222730867-0.0193384835878516i,-0.0345287092388737+0.00462158298265821i,-0.0371897360427454-0.0114489584259767i,0.0451804081116115-0.00155073107026853i,0.0376104592199577+0.0106994280311963i
0.0159113236569566+0.000907752248045268i,0.02554612614761+0.00348624719512151i,0.0385934322544279+0.014268469380812i,0.0417651602125408-0.000491739865178581i,-0.0449245679452462-0.00629778809585626i,-0.0336022434292633+0.005116263985403i,0.00310040994969677-0.0135633892857957i
0.0190835733540314+0.00112978759418331i,0.0251282817030356+0.0409543138955453i,-0.0063171883588691+0.00679928472179517i,-0.0249163798446529-0.0247636297230962i,-0.0567654793898237+0.00396829359956426i,-0.0686117886142633-0.0025135775975066i,-0.0258874992206041-0.03876030589628i
-0.0274982618580435+0.000964326641671016i,0.0320966663275286+0.0110917466565031i,0.0264197429885343-0.0291667131277386i,-0.0766722725322+0.00190131717869977i,0.0959744009145067-0.0168840411233971i,0.0237788892610899+0.00426809638989064i,0.0664991654986657+0.0329210127595867i
-0.00133619219303275+0.00139229099075157i,-0.0147737948957536+0.038605452341675i,0.0304803227869024-0.0370394170156361i,-0.031731943138296+0.00708982297309788i,0.000468263864691194-0.0251936553325789i,0.095570692265235+0.00851831357677608i,-0.0110951360940981+0.0222070099283328i
0.0110132725768767+0.00138529139152262i,0.0176934838136032+0.0382289132058554i,0.0150988690722393-0.0235589162677248i,0.0231069485468394-0.00181861331790895i,-0.0151690015111965-0.0119391676804531i,-0.0706571177713155+0.00720255313719809i,-0.0224030423867559-0.00982720214125615i
-0.0074829023784806+0.0010944677465099i,0.0219977402805357+0.0156537627424068i,0.000481081923956518+0.00534419284637484i,-0.0244952491629219+0.000824169806292449i,0.0406138738902256-0.010289211975504i,0.0326679790242632+0.0003854242899277i,-0.0349093882864572-0.00894688587031322i
0.00288049326946265-0.00226490891140759i,-0.0556531243933815-0.0405961092973368i,-0.0371459446288007-0.0157392410483021i,0.0628029185157068+0.00102153347942449i,-0.00566236640654594+0.0185771204731586i,-0.0793658387911173+0.00587321024151959i,0.0127307273090542+0.0154204354518803i
0.012006586620975+0.00101591233659894i,0.00778313588730437+0.0492449771538209i,0.0408786480956092-0.026282229120293i,0.0254384328272139+0.0132006725082961i,-0.0715462571229442-0.0245156505648088i,0.0341641413888497+0.00679390356277935i,-0.0352167097265511-0.0127850158868414i
-0.0170964582337886-0.000805670335654775i,-0.0246742198171903-0.0282024960347363i,-0.0429173150543351-0.0279736884785686i,0.0276543028843649+0.013029315408566i,0.0467603161338844+0.0133447892501688i,-0.0780837591108892+0.00052795666199101i,0.0293098324221011+0.0213142648262487i
-0.00350964568169966-0.000116926542320614i,0.0404626800233868-0.0352658123927809i,0.028063342427901+0.0607779604610469i,0.00798709441583063-0.0150390088064695i,0.0293310778685736+0.00945250692578624i,0.0421173366074567-0.00343414621078864i,0.0225609472502088-0.0138309998498893i
0.00753107983060705-0.00141095588911785i,0.00218304441647963-0.0269780870139613i,0.0231392011838846+0.0465122032102368i,0.0137282414466-0.0128263356475359i,-0.0145392001268468+0.00912543200675793i,0.0440309212889341-0.00426497485519673i,0.00884374910904667-0.00615169105729377i
0.00123902385538366-0.000470951217529859i,-0.0124655697558066-0.00563265350719698i,0.00268746204943097+0.00601507623844633i,-0.0203231950538772-0.00182989322682598i,0.00556586825906003-0.00580272749222592i,0.048045449569253+0.00212685401039408i,-0.0121765963881469+0.00932718830233229i
0.0112770206733302+0.00163662329551461i,-0.0244239877002146+0.0121691818623739i,-0.00171774804351211-0.0170510213518554i,-0.0302187573330231-0.000970938189917916i,-0.0387652584304518-0.00560615783904888i,-0.0655376656689117+0.00425617350735838i,0.00656396694216973+0.0155568074578909i
