-0.00681847627774185-0.00177561942310142i,-0.00750060247928287-0.00515896918473249i,-0.0222174460571909-0.0194242761800201i,0.00673097203000013-0.00238391941127935i,0.0265386773876531+0.00329242201178145i,-0.0216433314878379+0.00492996569035696i,-0.011854353317456+0.00892238241432321i
-0.00184829121251555-0.00196171059024013i,-0.0257241879819104-0.0110650490517218i,0.00673068010154932-0.00557827874955039i,-0.00565319571773499-0.00415704661625323i,-0.00451054590414837-0.000329525394192826i,-0.0115999050658448-0.0136667823608214i,-0.00437976936873141-0.0041372813900017i
0.0131905027011433-0.00151151761359408i,0.0291730991639476+0.00835976730603856i,0.00310932196565994-0.00808613522602518i,0.00783397742522985-0.0181084121621384i,-0.00303521311567881-0.0021464390439208i,-0.0346544418865784-0.0148947771346568i,-0.0191580499231796+0.00357735403809613i
0.00468567645995761+2.84677917477454e-05i,0.0335428869151009+0.0170771497553795i,-0.00833952399248559-0.0198536313235787i,-0.00247254660121498-0.00998062164713696i,0.0100434218399083+0.00571212250314933i,-0.0239969530393759-0.00673971340875455i,0.00352227191617507+0.00991882887615428i
0.00306132051254782-0.00210496477967175i,0.0287988753668977+0.00999959414695207i,0.0031423017578769+0.0187923506785606i,-0.00781608976510636-0.011986852671851i,-0.00652874091119452-0.00202163893897946i,0.0140126420249992+0.000384531073968433i,-0.0459982851193611-0.0250084249632233i
-0.00251272374032339-0.000397753259335106i,-0.00237626469662163-0.00118508909336267i,-0.0179104608046093-0.00981679246235764i,-0.00519095861375324-0.00114602984773742i,0.0125025006860923+0.014963558834274i,-0.0150293389723398-0.0137269779817837i,0.0168903588436227+0.00163706393595691i
0.0132620249392646+0.000592904901410502i,0.00509176817833278-0.00742228042840954i,0.00706234318401554+0.0165961032798348i,0.0145700238190555-0.00491841952508992i,-0.0271166040234096+0.00282350321116622i,-0.0238866056007964-0.0149504152463053i,-0.0156239335968098-0.00490891114984811i
-0.00893681556553455-0.001144279977219i,-0.0336067264262464-0.0236880662220416i,-0.0208081648329251-0.0109610491303336i,0.024410544548545+0.0128768553471853i,0.0162459508937502+0.00789903793067894i,-0.00231993807019678-0.00452999907631172i,0.0101524542617056+0.0135760534005643i
0.00468836808479793-0.0023837569891897i,-0.0156978170276468-0.00650059802027379i,-0.0166399142691442-0.0194686486489545i,0.0354827285229479+0.000684917758365134i,-0.0176684396914255-0.0103218876132447i,-0.00114009599312218+0.00403796471761779i,-0.0363693763520515+0.0121050631064829i
0.00332116929584462+0.000323093774383313i,-0.000758776515953441-0.0027525099227033i,0.0164833978882298-0.0135819708419785i,-0.0402150894365044-0.00901582532184132i,0.0234910412990662-0.00853229515023719i,-0.0282688850707403-0.0124585813980705i,0.0418111040345898+0.0154526530080047i
-0.00483821353798026+0.00101924212297258i,0.0218569038652998+0.0156729409460221i,-0.0247916354337798-0.0363383770858744i,-0.0289867965380725-0.00730018070195306i,0.0352872601793886+0.00408285418373932i,-0.0239922322361655+0.00757184378302257i,0.00573131459386491+0.0193621719889839i
0.00404970054801867+0.00245388948296383i,-0.0158392838836019+0.00475774135525612i,0.0214180960019679-0.0133598748427442i,0.00602227424328333+0.00810263318649854i,-0.0101699274641996-0.0126242689308278i,0.0132508660829082+0.00668890907239876i,0.0241573987242909+0.0202544763943519i
0.00960235795157431+0.003160082640603i,0.0360861219130915+0.0133323187310066i,-0.00345689423814699+0.0198729278512243i,0.0166539836949387-0.000279463913821276i,-0.0285834378614107+0.00501224230414503i,-0.0207387136508212+0.0157767935864464i,-0.0152453994547807-0.010744294243547i
-0.00647840292536238-0.00309448401456368i,-0.00899141915103484+0.0106487895539072i,-0.0010903629328605-0.0298283092681928i,-0.0250873173697455-0.0061129390709702i,0.0145756907582885-0.00249394178805414i,0.0287562264204365-0.0182602521296854i,0.00841611082097561+0.00865862192740347i
-0.0116906542731036+0.000312126955510734i,0.00311664120048819-0.000908944310435434i,-0.0211892660870444+0.00938191384606319i,-0.0390671190076335-0.000406647834974183i,0.0178429407881164+0.0181878766659364i,-0.0138648141089719-0.00290422054826592i,0.0349543842873223-0.00851943721062712i
0.0136177366695205+8.01091494506288e-05i,0.0321656940206905+0.0109039554258304i,-8.4505877579288e-05+0.0162893912344429i,0.051667698097726-0.00412867087244289i,-0.0317539411062506-0.00578783450535486i,0.00278162122092699+0.0120350883840238i,-0.05443541638795-0.00658261950908304i
-0.00155224852086106+0.000303967957639466i,0.0191199583793798+0.00110039828012956i,0.00125335211048396+0.0197096135408237i,-0.0145665810201816-0.00533353151429929i,0.0100037328224771+0.00992483574461252i,-0.0189731160958719-0.00240376841878568i,0.00675103226162684-0.0134744745017056i
0.00522212271772796+0.000126813291109724i,-0.00471851706009988-0.00703092491379904i,0.0127559845080232+0.0125286327923472i,0.00183321329010683-0.000578581002001073i,-0.0184491464734138-0.00303282628384767i,-0.00475587474584332-0.00843317327001438i,-0.00848238426909123-0.00208644846779633i
-0.00405272583216789-0.00081643107767205i,-0.000601482985716129-0.00175325997910936i,0.00179096585513409+0.00855875280491036i,0.0079680122013579+0.00477225066497692i,-0.0074388927098251-0.00513917908639782i,0.0284852492961194+0.00471417637129449i,-0.00851608622020448-0.00220370025239539i
0.00296212636121875-0.000723879541744947i,0.0297722115518261+0.00654613908941406i,-0.0182573144365061-0.00531254214940706i,0.0263246888077965-0.00390473889709482i,0.0117137620345079+0.00424669630187223i,-0.00902760386925655+0.00451495020220723i,-0.0151851537855764+0.00452993700143577i
-0.0100876464979362-0.0016605871160566i,-0.00419356719359057-0.00893059145920631i,-0.0119183159440887+0.0182850436208393i,0.0174852361647956+0.00515950135053269i,0.0150543327747668+0.0100389340840503i,0.0174423133889832+0.00603794459612456i,-0.0159130277495649-0.0195451273309349i
-0.00320464694287879-0.00221456984470229i,0.00120274375042948-0.0187422562516387i,-0.0132046160346836+0.0128479315634726i,0.0193856719218827-0.00215089604965643i,0.0104632959719565+0.0117966399153371i,-0.0220503219507898-0.0114732227058526i,-0.0147212855445947-0.00446424854918982i
0.00316990737472935+0.00313919262518572i,0.0403809044204701+0.0160789519990797i,-0.000307623711313946-0.00328095164952468i,0.0202254330820074+0.000929390793921346i,0.011698225007304+0.00247689672165249i,-0.0185813810596411+0.0192221094011943i,0.00180213888438824+0.00880042933631011i
0.0132400780732841+0.00689250749551983i,0.0186038219506642+0.00117579833873154i,0.0246919013935907+0.0198463294785457i,0.0511486533540884+0.0155136848221932i,-0.0299199110976473-0.0131007227080092i,-0.0145032252010439+0.0346826287484269i,0.00799239674288793+0.0209823050717206i
-0.0248387157327037-0.00790125871756117i,-0.0704954428743777-0.0306697571421275i,-0.0359202105321627-0.00364663182822142i,0.0204575654937852+0.00749719373073916i,0.000424083724713034+0.00843936407851461i,0.0452291974948592-0.0179488396264474i,-0.0299722203674724-0.0189533935485009i
-0.00514222239909209-0.00299462581683038i,-0.0245274180802239-0.02606482981251i,-0.0449517684802072+0.00466562961620644i,0.00148665014555035-0.000473543126460269i,0.0159381475961744+0.0239628359790166i,-0.0380486844007316-0.0140357521494999i,-0.00202270034192326-0.0197029571203975i
0.0044930789922603+0.00429353223108721i,0.023343562548224+0.00970110981264503i,0.00554872350592345+0.0171885238250471i,0.0209490712070182+0.00863882884034584i,-0.011850614891249+0.00234945912594434i,-0.00203341709832083+0.0199830930537797i,0.00736175012380283+0.00334134377376073i
-0.00388978342598449+0.000403071844112707i,-0.0365774278963969-0.0139409231809995i,-0.0103400922956752-0.0104080299293295i,0.00647493715884021+0.0114007452434775i,-0.00467990341321113+0.00557421704529633i,0.0014782714923794-0.00720270063518613i,0.0216044275757743+0.00995787616635456i
0.00684699136621016+0.00095357683160982i,0.0430227890245572+0.0301644110856135i,0.0192269777748103+0.0120861176998003i,-0.0411849835754664-0.0144831966016616i,-0.00562687609390274-0.0143874517751449i,0.0221623834590015+0.0137377848130976i,-0.019197515519726-0.0186778228700544i
0.0027121416291897+0.00306722010960713i,0.0319871487268462-0.00407830101028511i,0.00142653454097293+0.0246191935085804i,0.0126892138972468+0.000388477937278327i,0.0189924461476731+0.0149640157742397i,-0.0461626642507635+0.00678963733677098i,0.0266545955051025-0.00456363949958905i
-0.00439637113908926-0.000478094123407703i,-0.00451108605681176+0.0153166196789776i,0.0196067666342519+0.00874550061259981i,-0.0318791522885645-0.00230936929781064i,-0.0188033967010613-0.0120644764997912i,0.0539077910389404+0.00333948593288893i,-0.0158799552979998-0.0134684398342982i
-0.0092558483370506-0.00130480968341307i,-0.0155483216195038-0.00158482563201407i,-0.0246426419264471-0.0448031537170378i,0.00686364642120841+0.00442702247849291i,0.0245619038696152-0.00296036864306544i,0.000828997049034468+0.00436451117605172i,0.00148978740801581+0.0276628389566522i
-0.000155147236858734-0.00257277744495948i,0.00805209223787539-0.000381027965523082i,-0.0140815851951801-0.0226951773624127i,-0.000654004347364122-0.00779536893215934i,0.0230678429672963-0.00227370510013082i,-0.0179689810385903-0.00644997693323175i,0.000285195944008397+0.0159461368422289i
