-2.03945132622572-0.0364705357278596i,-0.137149998627461+0.0219512507148459i,-0.120660055444016-0.0401951088264938i,-0.134179975637523+0.0153804525300982i,-0.0498218862533636-0.00979120775732305i,-0.0457279395136869-0.0108067318529739i,-0.0387439047131024+0.0232837587519571i
0.000750393014004077-0.00242466606232596i,0.0225635082831332+0.0439230691038131i,0.0261800272269659-0.0476974716159019i,-0.0497225401146761+0.00414776227415307i,-0.000928214969145428-0.0271695617705441i,-0.0644279890998626+0.00585221425083966i,0.0474281848775804+0.0321941681132645i
-0.000390216244879772+1.28633480596514e-05i,-0.0130858718812823+0.0390669461954536i,-0.0378530847939867-0.0521111923122364i,-0.0726091066443161-0.00681471439286123i,0.021235646515497-0.0107970601516943i,-0.0277419773772296+0.0018941720864914i,-0.0105663978785145+0.0162808314146403i
0.00291223075550054+0.000964343350525657i,-0.0200008460304267+0.0178496461829359i,0.028709815667775-0.0326483252643941i,-0.000805455897113078+0.00954672433531055i,-0.0216924267748523-0.0155403332210513i,0.0176335317480822+0.00739176237673818i,0.0343103256809508+0.0291422864837297i
0.024295573715277+0.00312243483304344i,0.03672066480713-0.0312393423335876i,-0.0046434721669448+0.0280506793827625i,0.0163297215069101-0.00623465706268012i,0.0459193575381586+0.0172748283550516i,0.0499977110240998-0.00300309197803325i,0.0172885086556961-0.0124943159522448i
-0.0161536345870135-0.00277705347962382i,-0.00902034701670449+0.0527794822304054i,-0.00548292172322092-0.0440333903848087i,-0.0400220786365638-0.00768790109245521i,-0.0376902009167611-0.00921261926070015i,-0.0110725885174694-0.00280962267101863i,-0.00530687965869692+0.000837087253339247i
-0.0135018036917009+0.00240030194382357i,0.00282011786375316-0.033901648366016i,-0.0366083032706572+0.0408141693130382i,-0.0725861340028429-0.0297893848815193i,-0.00931071504193709+0.0281873470218031i,-0.02732165314401-0.0106156319029697i,0.032413373683651-0.00881467663984701i
0.0284121805145348+0.000901536022515777i,0.0229940822115739-0.00866965765730017i,-0.00323429229566747+0.0116496903024499i,0.0724563009771045+0.00996409638802444i,0.0514171929980053+0.00890069159884475i,0.0757712047979713-0.00187567943126053i,-0.0419495028957821-0.0234160671127775i
0.00315508533121291+0.000757210796986489i,0.0137033454852577-0.0243142414552668i,-0.0112979338436865+0.0358570434171372i,-0.0344143483692917-0.0137837611545438i,0.0300187349227614+0.0155708881326093i,-0.00504483325456617-0.00535735059228182i,0.00503245905459641-0.0125398637269716i
0.00581708913608263-0.000351093328848998i,0.0194313168269353-0.00528799993714226i,0.0270750516651373+0.011650477298555i,0.0350074234360717+0.00164514026356735i,0.00482048833830764-0.0033278952403679i,-0.00811055209148538+0.00478748091854881i,-0.000980053888466511-0.00323779444087243i
-0.00650778388952282-0.000577218191081598i,-0.00405393845395094-0.00916086668189918i,-0.00321656863534684+0.00975105507738027i,0.00852625430610021+0.0112348743692416i,-0.0140598290804646-0.00173655559908455i,0.0215808227026786-0.000291899284028803i,-0.0148490471752619-0.0049022564762532i
0.0106533066344482+0.000469446654173392i,-0.00126151171210418-0.000728125732771757i,-0.0450735412194239-0.0150218374931344i,0.00922427445967748+0.000592436135389062i,0.0366989825091296+0.0124664542897756i,0.0150008802949862-0.00552150876809247i,-0.0190591192127782-0.0045608424272642i
-0.0132876854500807+0.000260140455407232i,-0.0290110598789082-0.0431898537970862i,-0.0336579682431172+0.0482210607071994i,0.00992528557063641+0.00184940529930882i,-0.00169446050147272+0.0198983197890244i,0.0112437730962939-0.0086318772161585i,-0.0392799015773491-0.0228106261257265i
-0.00176451497025022-0.000355658740201081i,-0.0065182242956995-0.0308924584767631i,-0.0302614921321566+0.0228115126177446i,0.0326218459070967-0.00370264099724312i,0.0326093565082244+0.0171841987172583i,-0.0353707897580909-0.00337555409261967i,-0.0338686548305019-0.0124007289522431i
0.014942201610992+0.00241070215065369i,-0.0053425576463722-0.00538547053239455i,-0.0264639572674242-0.0139914846081829i,-0.0255251790398035-0.000778044393938067i,0.0571999431648503+0.00533534897918077i,0.0300508995672127+0.000434034062719434i,0.00569862807249086+0.0124668980295971i
0.0293282984207577+0.0053389125268797i,-0.00743649700490257-0.0403112932350426i,0.0245841029512503+0.00301398290667017i,0.043417727548975+0.0196412788633637i,0.0503336636861728-0.00446650208809881i,0.0577748281679323+0.0124504854878918i,0.0368097854390063+0.035526046016408i
-0.0396848852841043-0.00346189232484153i,-0.0514192065748272-0.0152462491885331i,-0.0366185124052387+0.0231903311622124i,0.0668857659387927+0.00528935164761535i,-0.0847268347287082+0.0163645914679548i,-0.0323800204613949-0.00960429370190283i,-0.0635298335598991-0.0334350068830495i
-0.0114844838964238-0.000435437190952753i,0.00601517365253401-0.0385240157898903i,-0.047377523772467+0.0297349483335696i,0.0291367707682625-0.00824854095896988i,-0.00342982655591165+0.0250446777017172i,-0.0752547422679159-0.00846176778273649i,-0.00824298019678532-0.0224075923544572i
0.0170652820352483+0.00455192509402812i,-0.00805273738612734-0.0421178217376123i,-0.00806074922044418+0.0239484961262505i,-0.0113554018451589+0.00107996761420462i,0.0271354632175108+0.0144701337039286i,0.0585484327570755-0.000332149866629262i,0.028931026055233+0.00950996876592473i
-0.00991946635150927+0.0014925197888955i,-0.0290954451779245-0.0177103820217816i,-0.00694242508964748-0.00699549435082495i,0.0184540132503669+0.00125048812505451i,-0.0403353367765549+0.0075306016775226i,-0.0218980778094017+0.00108797985303474i,0.0290302632484126+0.014465466868676i
0.0127199987762535-0.0013427862425757i,0.0532617438177868+0.0400628622539655i,0.0368672334498554+0.0128679967076301i,-0.0577608734754283-0.00392832159243438i,0.00549497089267463-0.0194609897366247i,0.0561850687999384-0.00207812286901614i,-0.0112753752345194-0.0208725026069145i
0.0114426064297275+0.00344503413258579i,0.0139221992108956-0.0473550569821871i,-0.0247490230033053+0.0314980364612888i,-0.0151977108896705-0.0166529779334802i,0.0655987360938295+0.0236963462832842i,-0.0254270844134761-0.0034732145588489i,0.0365269823462348+0.00747180312962555i
-0.00934609325911139-0.00122219423702518i,0.0108620309566604+0.0235637933163342i,0.040935465714366+0.0244148467518241i,-0.0303421856816127-0.00659237643834934i,-0.0437153499769818-0.0112168557736156i,0.0532224163260093-0.00136123703330561i,-0.0182605861111577-0.021557396053904i
-0.0154344760522258-0.00178816790955493i,-0.0411803417284136+0.0342041569875694i,-0.035403192531357-0.0664492353310477i,-0.0103201287254292+0.0153604973028181i,-0.0119169126071613-0.016331912117375i,-0.0288082189672943+0.00483489952191369i,-0.0199222062756821+0.0233715530650486i
