0.00836047844138172+0.000279506480329889i,0.00224531907653715-0.000243452632715736i,-0.00852474114462603+0.0157845831228417i,-0.0052465009057504-0.0218480534564868i,-0.0752133406528454-0.0155861028997586i,-0.0600939885238205+0.0110745156117591i,-0.0350792400205644+0.0182888757422854i
-0.000387936820142547+0.000641455807201181i,0.0187013702284112+0.00948586487797851i,0.0186453993708737+0.0092796959391748i,-0.0137128597957419+0.00267901379694691i,0.00490446989565167-0.00043148491185481i,-0.0128468231554818-0.000442334335048808i,-0.00323242655512434-0.016147963565251i
0.00405266578960367-0.000169805485732772i,-0.00795681039458469-0.00376426194562439i,-0.00525087304250265+0.00338457287037442i,-0.0271264601387055-0.00139216358864902i,-0.0249788793923694+0.00247741250818357i,0.00752774131556036-0.0142164152777799i,-0.00685871912284883-0.00103765659248289i
-0.00507806719014307-0.00121375429067626i,-0.00149234309347536+0.0160015101932902i,-0.00658422526107496-0.00785379021986225i,-0.000415921444406184-0.0197743038159997i,-0.0088477231828321-0.00466028951923019i,0.00600868273989542+0.00261696256596839i,0.00662730038752553+0.0101730574025771i
0.00344634531205742-0.000525795019615628i,0.0223346125654745+0.00367886585286266i,0.00904650351954322+0.00426059525524489i,0.0246128397557757-0.00700156413609947i,-0.0254029212495758-0.00771805171043009i,-0.00929254641592219+0.00401139392324101i,-0.000670048409708557+0.0158281242631185i
-0.0101495619755156-0.000698473151436415i,0.0187936955826593+0.0175571749352447i,0.0173024785681266-0.00299611913410496i,-0.0106103913004973-0.00893861406264077i,0.0233585490864084-0.009059637720508i,-0.0157547095940092+0.0154666936379215i,-0.00291156031954863-0.00227634157202016i
-0.0020652335655372-0.00172954539368876i,0.01598383821171-0.00392821371862875i,0.0120195525497934+0.00207484355735088i,-0.010548506383842+0.0030732956832055i,-0.0145781473510367+0.0021261999506082i,0.0109926226828937-0.0127894852567109i,0.00515201519829387+0.0068538163195679i
0.00315538184137375+0.00219470980718222i,0.028579159988169+0.00899095849794462i,0.0155446101051137+0.00576014441078924i,0.0370448492874989+0.00622830695541241i,-0.0312186656424301-0.00675483774279341i,-0.0313414790266757+0.00899954810551471i,-0.000352878256932125-0.00321659346661326i
0.0100449505670931+0.00512476510282066i,-0.01138560727819+0.0181930662688588i,0.0120947247776647+0.0148825060165074i,0.030071053583989-0.00515926241015611i,-0.0793400791701229-0.0145656491903058i,-0.0370157966756659+0.0191313894223294i,-0.00442111915267844-0.0127781155370972i
-0.0238879287021358-0.0053866381171i,-0.0369516564183016-0.0214190468356835i,-0.0189544006641607-0.021749150428344i,-0.0110017066583761+0.00126528269252224i,0.0571779816629613-0.00342945568637234i,0.0271569322291589+0.0119253909319882i,-0.00560386293943303+0.0231454335930909i
-0.00426255760243776-0.00110709994871447i,-0.0214084683923262-0.0105309061500782i,-0.0133541040742959+0.00956155570657384i,0.00347403982213373+0.00891584071511498i,0.033256164154469+0.0123430041477176i,0.0181951552660442-0.000914417066307625i,-0.0207357682619084-0.0135207097022437i
0.00296866279450501+0.00357386562307613i,0.0141547274932309+0.0265414530618014i,0.00409031161018973+0.010590354744861i,0.0179804779375519-0.00257909962707577i,-0.02884989113442-0.00362853334324392i,-0.0432557677702205+0.0109332730396729i,-0.00854315340446959-0.0200548855837306i
-0.00390727036583043+0.000392788085798477i,-0.0140921621538422-0.00628980518354192i,-0.0132311051010102-0.00154771606904811i,0.00760759935358097+0.0154253478029706i,0.0241083039380191+0.0123399111472012i,0.0133451421976573-0.00864527136609023i,0.00700280727109534-0.0117851660289626i
0.00715038528270612+0.000661586689496458i,0.0071734042732751+0.0213709247268596i,-0.0036066357843889-0.00420774401794898i,-0.0217854945708027-0.0291366470311266i,-0.00473671283390177-0.0150936258893443i,-0.0151361383306831+0.0169824085755129i,-0.017651702880834+0.00852927205717587i
0.00466620403879529+0.00310187373486359i,0.0210429188084917+0.0178286731406016i,0.0369987094652787+0.0169680033806568i,0.0182194165787319+0.0128150013071944i,-0.0213759027232963-0.00371974439324955i,-0.00536838646124084+0.00589373419164083i,-0.00170748308834258-0.0280900940683589i
-0.00568512403440828-0.000886911305603871i,-0.00622765973866249+0.011352604558799i,-0.0145516964989126-0.0272466582453089i,-0.0318549213540311-0.0075915449145164i,0.0125961847116771-0.0104746233636218i,-0.00522648644439899+0.00761743941330027i,-0.00380425747846408+0.013219813411218i
-0.00771385307854427-0.00170921488546423i,0.00171814594106335-0.0196251865393074i,-0.0103886067515406-0.0124018332952678i,0.0450120058630346+0.00730676688466187i,0.0209485924404571+0.00676803492043084i,0.0218529455351356-0.00282812630486859i,0.0276181231246041+0.0268879295129953i
0.00206921237412147-0.00216314872824346i,0.00904095557323267-0.0149647858363388i,0.0109391857309206+0.0103744313164226i,0.0207493159722263-0.00947710283739607i,0.00771582335951885+0.00356165276336119i,0.0104671194298384-0.0052617718797388i,0.021528757922874+0.0164888665906701i
