-1.98622646541535-0.0407367850954243i,-0.246523238445882+0.0142675778940397i,-0.225181240280203-0.0266086875154984i,-0.212474148100852+0.0332391260424369i,-0.163924630106819+0.00421486144042237i,-0.108222945044579-0.00633095033572317i,-0.16028641405132+0.0146845687270811i
0.00983928673025473+0.000588760641617987i,-0.00316658447349807+0.0209667578276722i,-0.0121755332745318-0.0144268433670244i,-0.0320021449910658-0.0185417347070138i,0.0315680339873889+0.00062243070828371i,-0.00525508111711816+0.00177088984540465i,-0.000118621643279805-0.00755983185666642i
0.00463399540496-0.00251432624016239i,0.0114971629278408-0.00594958446442005i,0.00883870237299868+0.0349448298128922i,0.0233661225217308+0.00999343933972516i,0.0284464353317758+0.00959790106051835i,0.0112026869047335-0.00300486720913191i,-0.025688565023395-0.0383302397762451i
-0.00264330810639333+0.00137723497686608i,-0.0136202647268717+0.00329286075000778i,-0.0127947591735332-0.00423168085072063i,-0.00804741084412365-0.0261306821368285i,-0.0152853246480829+0.00659514547004251i,-0.0179222744356377-0.000305821456774735i,0.0200736129344347+0.00348664123749139i
0.0135410279341179+0.000517046230258579i,0.0206517683290906-0.00125500846443941i,0.0364809385297665-0.00886925875147449i,0.0569680985597938+0.00310521283470131i,0.0536102561189934-0.00715766668761699i,-0.00678312314512992+0.015704183287892i,0.0219108016141061-0.000765582540977436i
-0.00992111903556277+0.00128651752673863i,-0.0364605052132662-0.0179165075886848i,-0.0269903817384081-0.00698832038132781i,0.0113782863082028+0.00178496049199706i,-0.0264322235671371-0.00279701060001431i,-0.0364940349692667+0.00603619591808215i,-0.0186714320954959+0.00990833842795041i
0.0046890904440609-0.000707340818726384i,0.0174190829803644+0.0244392037053394i,0.00840832928459946-0.0240980417623892i,0.0259917576356823+0.018780459620499i,0.0242913213337031-0.00964659777171882i,0.00991306283377936+0.00298611398004955i,-0.0212584371108526-0.0196228391555142i
0.00151984140520594-3.08363134857986e-05i,0.0298698847085282+0.0207648862837119i,0.0114815986588575-0.0450852176266786i,-0.0281255346060102+0.0158709240962642i,-0.0077956564262247-0.0245553085471411i,-0.0554086909419988+0.00661201737972567i,0.0218446080503217+0.0285823031537539i
0.000139231739952971+0.00120591419051296i,-0.0244160034696626+0.0174007830632437i,-0.00554021943424084-0.00831660448106389i,-0.0571892392631701-0.0143725399926498i,-0.006338498207481-0.00863779464248i,-0.0274678116758386+0.00151647850224178i,-0.0212820661462892-0.00644833275081534i
0.00220329816335875+0.00124248715051776i,-0.000814260704008588+0.0172119720621351i,0.00608966291157326-0.0303736728312197i,-0.00672393274444662+0.000843881588099747i,-0.0139759746993169-0.0106409878812135i,0.0161993513502804+0.00374211767671893i,0.0115349139061422+0.0266039743691249i
0.0173880681196729+0.00140891337201238i,0.0180983715289371-0.0289047338101726i,0.00379934328344986+0.0223513622302322i,0.0011604316347134+8.12840783327544e-05i,0.0584596770947493+0.0156861543974277i,0.0438794108078766-0.00921360858028083i,0.0250531192020283-0.00357396880874665i
-0.0119121032875059-0.00142461430600502i,-0.0113583207534607+0.040320322333487i,0.00215148705860048-0.0201736496574089i,-0.0243831962689393-0.0138788815369062i,-0.04331533718194-0.01065371029381i,-0.011067930304689+0.0062778851514115i,-0.015217781932563-0.00841581700248019i
-0.0110923647740249+0.000410766968845904i,0.000226488198393656-0.0257122381184018i,-0.0181873199723996+0.0407958422447506i,-0.0429992293218453-0.0297243278423262i,-0.0245035926052175+0.0195675532335555i,-0.0279770665252146-0.0136695012407673i,0.0123868729009253+0.0001129381540125i
0.0219387310879516+4.28724647994921e-05i,0.00272589297423747-0.00107083854273747i,-0.00531716391169056-0.0018835612480134i,0.0426488691236732+0.0192108129151209i,0.0632546635739608+0.0115873673455117i,0.0676205079340276-0.00421494453662i,-0.0130897934163389-0.0250858384010545i
0.0022786722409888-4.35247720031095e-05i,-0.00182491098277015-0.0171312853782348i,-0.0192785207957022+0.0191924677758969i,-0.0114293357763725-0.0094327723471612i,0.0114961884118068+0.0116018143966436i,-0.00358461147614661-0.00412899869278975i,0.00496203908022169+0.001652259357385i
0.00361490050855855-0.000173801168942633i,0.0160870092111474-0.00393431073389624i,0.02250519491296+0.00424420617219794i,0.0389571057881324+0.0016767635396592i,0.0301915403596412-0.00566298471665432i,-0.0112308714241842+0.011893345005786i,0.00284043348699111-0.0011829054222126i
