0.0226215347822649+0.00157176924700621i,-0.00792623770039891-0.0188564796059795i,0.0292977333037429+0.0330532417148712i,0.0224811685398201-0.000823201992396675i,-0.0196142177055374-0.00538401493035901i,0.0113668632491067+0.00147568211227719i,-0.0136350917472404+0.000114122363919904i
0.014249405282184+0.000662066428616088i,-0.034620935274521-0.0222511984074094i,-0.00371773565053846-0.00547099948431377i,-0.0037837230891569+0.00714570141201338i,-0.0174160968445487+0.00946129477961079i,-0.0269186039449011+0.00258259086543579i,0.0464605160986643+0.015557369536307i
-0.00620094765171372+0.000380480131368004i,-0.00427085254073333+0.0108908484003524i,0.0268352727854854-0.00288160116488687i,0.013889242622201+0.00498049732415754i,0.00357374662774756-0.01245819822772i,0.0296196706943771+0.00202994140762861i,-0.0171090475927894+0.00764664886703402i
0.0581687761117434+0.000964809438224016i,-0.0265559566300923+0.00769053499966766i,0.00177996296078203-0.00651067183529922i,-0.0378528012062633+0.00374026150480213i,-0.0235089328065879-0.0091323909329985i,0.00805326364415919+0.00264062235887275i,-0.00362332866506888+0.0103723456437638i
-0.0209104662048299+0.000229975925191383i,0.0350300491460333+0.0244771054326424i,0.0270942794852806-0.000106955532732337i,-0.0177631009624217-0.00766705394624002i,0.0186177167398886-0.0115659490954096i,0.0296810668766631+0.000573142008363783i,0.00122303543530399-0.00273378550320648i
0.0394041933460762-0.00119823878155461i,0.0224950591941815-0.0126795235985674i,0.00716444519461046+0.0272251993625309i,-0.0595206037938028-0.0128682071584505i,0.0114300784201855+0.0012378841161964i,-0.000298670787457826-0.0021559961097207i,0.036153603546624-0.00942509651129628i
-0.00597909637297535-0.00235237715285573i,-0.009346923646622-0.0262598968398659i,-0.0293254812975274+0.0244984928144375i,0.0291715340994886+0.00360775208531886i,-0.0213344666219794+0.00451381052990885i,0.0675370303874579-0.00385508215687397i,-0.0541730149310553-0.0191312929864319i
0.0170373128579691-0.00341481838671164i,0.00527375757178123-0.0407998387188113i,0.0424729908949099+0.0422232401453875i,0.055705970969133-0.00178781387230528i,0.0103870159286981+0.000252980862586563i,0.0516474146217223-0.00265072294861629i,0.00663257450170108-0.0103459535142238i
-0.00207087165999055-0.0013377513136255i,0.0220716548634422-0.00187958033417909i,-0.0290717877960896+0.012806283108742i,8.47647577527258e-05-0.0112552809071739i,0.0133245787175867+0.006079224527596i,-0.0116473512370631-0.00309251661394566i,-0.02945864919287-0.0186219055766421i
0.0662650679795273+0.000281256389488391i,-0.00481210756108574+0.0115102928831177i,0.0225692259328075-0.00512087062588849i,0.00101827242909357+0.00418303709101707i,-0.0148043611835415-0.00798083008571955i,-0.0394909952038581+0.00295178996812209i,-0.00173360152238728+0.0047167628571934i
