0.00538280952318548+0.00129013284962595i,-0.0041273200857283-0.00529080138676395i,-0.000922115000177057+0.00372353336910581i,-0.00402388986206304-0.00350156836641797i,-0.00742200019064678-0.00250903944862841i,-0.00434476411213898-0.00469085269331972i,-0.00480525186550737+0.000406407562426495i
-0.000628198935860875+9.83740293618005e-06i,-0.00196107774508765-0.00283246906394207i,-0.00103218219504074+0.00312178074661904i,-0.00185011900263092-0.00212889236637137i,-0.00504507749921331-0.00264906459149212i,-0.00378934394749403-0.00280755842909967i,-0.00321372807906302+0.000100310265585964i
0.00174155801524259+0.00105764722775615i,-0.00272269628549665-0.00223411547032454i,-0.00106676920287653+0.00186329033518274i,-0.00315375431517924-0.00192771485139875i,-0.00443738291411431-0.00226450728676774i,-0.000721290375058016-0.00103350516713953i,-0.00417797439865194-8.37461120046049e-05i
-0.00130576070968797-0.00040193576950538i,0.00227782889090359+0.00201042425593391i,0.00102884592722908-0.0017778764291i,0.00215743639884568+0.00134748918569505i,0.00375731760612812+0.00257225558591361i,0.000761146597914639+0.000770870224390098i,0.00318237332308615+6.28467087578307e-05i
0.0121262108122774+0.0010223858576625i,-0.00377268900783529-0.00428994121682898i,-0.00108977925295653+0.00248178246215189i,-0.00335173514801788-0.00256803346925797i,-0.0052883164308903-0.00221874921786917i,-0.00222425944997117-0.00377203339527134i,-0.00325165845757118-0.000447167593909826i
-0.0018056351917224-0.000176159831753511i,0.00322466881018301+0.00299167927455115i,0.00162689217686632-0.002730991759272i,0.00368207890603938+0.00247265562281402i,0.00560660628719331+0.00389982006874221i,0.00171748457673895+0.00235707653824666i,0.00422003203400402+0.000724807254286184i
0.00273629416389543+0.00138696295550217i,-0.00315235491857356-0.00310703234120448i,-0.000686249305073414+0.00155335120572222i,-0.00272058001408548-0.00183114596843987i,-0.00439865490793818-0.00132936388493393i,-0.00135441017229246-0.00183973392492333i,-0.00350669238328201+0.000742800489544449i
-0.000531514665514073+0.000360422855624994i,0.00313370479011596+0.00159566498784954i,0.00327225008334616-0.00287070745132873i,0.00198657925126474+0.00162749304064983i,0.005705666861598+0.00581700490607813i,0.000684209658076363-0.000205642655667187i,0.00577719756051303+0.00105676906705772i
-0.00298381981125436+9.76484282997863e-05i,0.00283657512255976+0.00181004184926231i,0.00158647841720762-0.000752016250386143i,0.0020593981920394+0.00093440762700597i,0.00250061771910216+0.00242496865864998i,-0.00098513223968623+0.000667782060809352i,0.00215558072733925+0.00104743451528783i
-0.000701818684919937-0.000553533620887386i,-7.99380534819436e-05+2.59591380679576e-06i,-0.000237937033539671+0.000551526689307245i,0.000386771028179293+7.23651420290335e-05i,-0.00063534048138659-0.00137719451505841i,-0.000282772246691412+3.4087070033784e-05i,-0.00029006812074774-7.49625566212027e-05i
0.00749072621287056-0.000178685819985374i,-0.00645615995931725-0.0065660130248345i,-0.00474247453209476+0.00694854659481688i,-0.00542367531340133-0.00447790867169604i,-0.0120153975287223-0.0091123018825883i,-0.00535026679369684-0.00464827951228495i,-0.00872249452591395-0.0018157908982841i
