-0.0180559237432774+0.000554448196187843i,0.0421370448768122+0.028059161216736i,0.0656781986640872+0.00573676244532006i,0.0213257184991542-0.00571583989076004i,-0.0207564446604154-0.0128366422799226i,0.0287021775158448-0.00121126923344598i,0.0156256992392136-0.0128346771138236i
0.0134778568035807-0.00709040762924704i,-0.0150592817274638-0.0281327555513971i,-0.0120530558264674+0.0348724548481172i,0.0247732687425291-0.0025604453331101i,-0.0448977807693748+0.0126631004703689i,0.0167009639162062-0.00197801641171248i,-0.033596755626752-0.0243991451286536i
-0.000155018063853474-0.002295411000868i,-0.0021351897595308-0.0022577907825995i,-0.0130381316393541+0.0117850554984973i,-0.0434776185256306-0.000339010187139011i,-0.0224943025764935-0.00166124836993223i,0.0109758112103412-0.000511640212796895i,-0.0157725458823873-0.00917406722341648i
-0.0184531159490501-0.00722402115242635i,0.0390890819840836-0.00593628960297822i,0.0128295575969995+0.0362046918934667i,0.0397175960299901-0.0103617193356566i,0.0276304565684806+0.00475701114354383i,-0.0108070801636055-0.00421509117224626i,-0.0566090213498913-0.0318409736194539i
0.00766505991094706+0.0031932336091597i,0.0198690805455731+0.0332099780040214i,0.000158480972233365-0.0336151107246916i,-0.011365296959347-0.0029706623312843i,-0.0238132662626622-0.000668035322869533i,0.0158593138710256+0.00188085401883459i,0.0436094468275385+0.00725992474147544i
0.000878186578074226+0.000317706447681127i,-0.0162306129274706-0.011940580142987i,-0.0110777553175395+0.0249526212298476i,-0.0500879369907486-0.0132107077255087i,-0.010685670574407+0.00290782403547065i,-0.0318432150953594+0.00079578675189809i,0.00305859895037758-0.0030560482936398i
0.0136289064922447+0.00182992860050949i,0.0228378158151059-0.000987282804033551i,-0.0186333120228424-0.0249794935288763i,0.0848322880426153+0.0121726351131725i,-0.00819464113492022+0.0134791999226124i,0.00786060192805785+0.00211224587435532i,0.0198832917533761+0.000151595400752309i
-0.0211033449358472+0.00408191786325859i,-0.00164554959815117+0.0101590739435169i,-0.0142314292487221-0.0129394897347138i,0.0148529261664913-0.00177432547247834i,-0.00452955705008241-0.00309511828953265i,-0.00196429286808273+0.00230548687385039i,0.000905009163334536+0.0121502061357594i
0.00487007275207552+0.00209310561791587i,-0.0192897555484119-0.0143664931517965i,-0.00762497481741492+0.00740105498569608i,0.00286412789850034+0.00427108312929095i,-0.0300270198630503+0.00256050565797427i,-0.00393668979845364+0.000894445561057716i,0.00531423397322193+0.00297527904901332i
0.0681969906733071-0.000411738472438596i,-0.00470122395300989-0.0265834335553428i,0.0128047778973009+0.0402187267590228i,0.0149151932478578-0.00752925469372863i,-0.00227167253791963+0.00456572600280531i,-0.0166154707825608+0.00041881156082315i,-0.011114445003214-0.0102916729259163i
