-2.94659119021937-0.0184004605251657i,0.00275959423855822+0.0290436527105229i,0.0728202380729925+0.0354715212575222i,-0.238234678722465-0.0218940504872969i,-0.503676006763723+0.00167065079274044i,0.394139170770977-0.0948328369377561i,-0.406293091185868+0.0722055276390207i
0.00467246774736386-0.00527140701529168i,-0.00515097604086126-0.00567459288682155i,0.0451087559101765+0.0202044354155833i,-0.0276666869493276+0.00749160607788346i,-0.0440097224155796+0.0154382893889175i,0.0133921965767305-0.0120439677709853i,-0.0116253572829918-0.0214389234770943i
0.000249544413808783-0.000460573189274625i,0.0159529895687326+0.00103792949370453i,0.0192617973482456+0.00364988714958836i,0.0141306660631478-0.0078850731440908i,0.0217390166240215+0.00691131197847838i,0.00263690862469601-0.00260872475294795i,-0.000771488439252232-0.0022896703094565i
0.0142755988937413-0.000603233304376748i,0.0150174763119454-0.0103282639895172i,-0.0343173326164497-0.0238600002800165i,-0.00235603998868116+0.0154776700869365i,0.0447881401942773-0.000450750767318139i,0.0245952840649543+0.00413935593679015i,0.0329828988453014+0.0192931069580693i
-0.00221821994140484-0.00188664246440673i,-0.0560154110240079-0.0156005835416945i,-0.00253405235803866+0.0325495162399967i,0.000750679498328713-0.0146183436852048i,-0.0524939871644936+0.00214731483777848i,-0.0283943821221973-0.0139541599994193i,-0.00918756343072991+0.00484376490844189i
0.00161889075288994-0.0050841359412456i,-0.050304895208683-0.0365653912395621i,-0.0250983774814807-0.00101788790762197i,-0.020397029827273+0.0227161811878546i,0.0645759578989536+0.0113621995745i,0.0363520839808669-0.00927017182648458i,-0.0318323513737807+0.0175000558960269i
0.000816401960163232-0.00969672192862405i,-0.0239777181388309-0.0187565770120208i,0.0349893593037029+0.00732110242578345i,0.00186778537367291+0.0348218053611212i,-0.0261490946746546+0.0161531486417164i,-0.0260393692762579-0.0182364384063605i,-0.0149203763384423-0.00768563785281101i
-0.00221049250960753-0.000868278615700758i,0.0493209738646007+0.0123636108262993i,0.026207347507276-0.0238223885731094i,0.0302830601977517-0.00148231376098664i,0.0244375214797543+0.00889238395237344i,-0.0376437488838442+0.0010886564884693i,0.0614134199631117+0.00605368849988495i
-0.00309587318546308-0.00124837001002794i,0.0338135328761612+0.00245244214066477i,-0.0204177344599933-0.0337611576318524i,0.00652831294240652+0.00852491436917124i,0.0211694061503411+0.0117552733337236i,0.000439756224086103+0.00256420753924902i,0.0349555196925901+0.0123542199235387i
0.0134300619128353+0.000976748036782041i,0.0542582046630315+0.056828548706097i,0.00249453553394082-0.0284272368480293i,-0.0056759810051886-0.00475989317193779i,-0.0199533148168348-0.00854132285909328i,0.0434022010747756+0.0011531123535315i,-0.0261995314213491-0.0137749055219395i
-0.0029134660233027+0.00305098792923685i,0.0155257158361188-0.0277901875980654i,-0.0384422753208146-0.00229540851979413i,-0.0192961262455342+0.00729665447265046i,0.0172851496455948+0.00143356193089779i,-0.0129204490367278+0.0109861658551641i,-0.00495999731767498+0.00756198525623492i
