-12.8228214749869-0.000166028132883173i,0.0138275966610193-1.76602929341949e-06i,0.0138275966932755-1.76603196136017e-06i,0.013827596678159-1.76602688122602e-06i,0.0138275967396729-1.76601934089724e-06i,0.0138275094962329-1.76572703920686e-06i,0.0138275974889855-1.76602545170928e-06i
0.178495527473818+3.76448166972764e-05i,-0.0148385336381886+1.22597424774417e-06i,-0.0148385336416389+1.22597826186687e-06i,-0.0148385336349445+1.22597611541066e-06i,-0.0148385336495878+1.22597059788423e-06i,-0.0148385110941061+1.22494032121705e-06i,-0.0148385338634054+1.2259789132049e-06i
0.0165608115776603+5.45946558709477e-05i,-0.00290065024111317+5.51011993393995e-07i,-0.00290065024562322+5.51004830312973e-07i,-0.00290065023586395+5.51015916211499e-07i,-0.00290065022352873+5.51008174911341e-07i,-0.00290065992290652+5.503900951148e-07i,-0.00290065015139953+5.51015637686023e-07i
-0.0190026116230289-6.75697264506693e-06i,0.0140279881307724+1.97836697281457e-06i,0.0140279881405003+1.97836192493893e-06i,0.0140279881458534+1.97836813762535e-06i,0.0140279881416715+1.97836627481511e-06i,0.0140279815882101+1.97851910339855e-06i,0.0140279881917645+1.97836379880703e-06i
0.0316899719860404+4.78386378096622e-05i,0.00499969214689197+4.14435388839875e-06i,0.00499969215269077+4.14435519369803e-06i,0.00499969214265971+4.14435644759356e-06i,0.00499969212173171+4.14435987423146e-06i,0.00499970924712063+4.14349769612039e-06i,0.00499969198840641+4.14435747356512e-06i
-0.0976211511154719-3.5458722958746e-06i,0.00769953868769355+3.07004578209864e-06i,0.00769953869954218+3.07004611212908e-06i,0.00769953869581344+3.07004009064519e-06i,0.00769953869515726+3.07003997630832e-06i,0.00769950715042138+3.06946122740525e-06i,0.00769953896338164+3.07004229070708e-06i
0.035391662123335-2.50927325525712e-05i,-0.0113236975125322+3.26067659712783e-07i,-0.0113236975058676+3.26070076529718e-07i,-0.0113236975112691+3.2605752409717e-07i,-0.0113236974989485+3.26060525361869e-07i,-0.0113237192455579+3.26041601189062e-07i,-0.0113236973349664+3.26062814728219e-07i
-0.172623829687115-1.41209827160308e-05i,0.0033290110103623-1.80345440056639e-06i,0.00332901101485245-1.80345568500819e-06i,0.00332901100121502-1.80346105594344e-06i,0.00332901098519767-1.80345924335658e-06i,0.00332900709578911-1.80342648691369e-06i,0.00332901103595558-1.80346246900763e-06i
0.0687594207148513-9.78264540791982e-06i,-0.00591715021385572-1.07857955985854e-06i,-0.00591715022307202-1.07857564037269e-06i,-0.00591715021927688-1.07858024132368e-06i,-0.00591715025266118-1.07858259862465e-06i,-0.00591712057661637-1.07842272211875e-06i,-0.00591715050237418-1.0785829115478e-06i
0.086957982669544+1.83811840100319e-06i,-0.00449639385888715+1.88694119999847e-06i,-0.0044963938756996+1.88694428552062e-06i,-0.00449639387784822+1.88694773215146e-06i,-0.00449639388180785+1.8869412143362e-06i,-0.00449636801335988+1.88653570673336e-06i,-0.00449639408703924+1.88694292452078e-06i
-0.111803337080586-2.11991922180618e-05i,-0.00190301035283538-5.11453051836986e-07i,-0.00190301035369819-5.11450788699565e-07i,-0.00190301035169305-5.11456530821325e-07i,-0.00190301034966197-5.11452063127048e-07i,-0.00190302172155552-5.11219719568467e-07i,-0.00190301026579362-5.11457617389689e-07i
-0.014873256316975+3.34870367079807e-05i,0.00157105741433903+3.65498169172651e-06i,0.00157105741006488+3.65497999042872e-06i,0.00157105739877612+3.65497760682778e-06i,0.00157105739130303+3.65497654921515e-06i,0.00157106095045301+3.65436700470515e-06i,0.00157105738327888+3.65498189046062e-06i
0.0758000283156607+6.18980203480814e-06i,-0.00904135066946165-7.83190308673004e-07i,-0.00904135066606314-7.83188115804987e-07i,-0.00904135065426592-7.83190783334073e-07i,-0.00904135065808192-7.83188932544537e-07i,-0.00904133967436695-7.83198460257298e-07i,-0.00904135076675167-7.8318623808646e-07i
-0.0744922587747138-2.71427308413573e-05i,0.00588019326934111-1.22523712129231e-06i,0.00588019327321507-1.22524311696213e-06i,0.0058801932872207-1.22523289099957e-06i,0.00588019327789371-1.22523452019197e-06i,0.00588017086680846-1.22497850778717e-06i,0.00588019346533475-1.22523777002397e-06i
