0.00573952859727974+0.000831366926516662i,0.0116192373589794+0.0133444068977463i,0.00779565920630349-0.00803474629969699i,0.000561452992136736+0.00662849028933017i,-0.0116383827280217-0.000290010378516628i,-0.0172008663450312-0.00496908313927455i,0.0188503638331426-0.0109080920400531i
0.028895129031803+0.00114553737059978i,-0.00589778893198998-0.00489444053135624i,-0.0109281668376364+0.000229492553768793i,-0.0120045344161651+0.0085800466428853i,0.0238188251510747-0.00170558999165572i,0.0385954003532105-0.00377132276370025i,-0.00943423239980584-0.00345189224584872i
-0.0356772264923205-0.00408041303343413i,0.0334804104387718+0.0169326745124231i,0.0213668064987657-0.00639152996884308i,0.00307292269205548-0.00981498746609521i,0.00616791778916269+0.0138924440268853i,0.0297253263146039-0.00164584605121313i,0.0591215645135128-0.00135032574647024i
-0.0294972244081725-0.00312199549077171i,0.0342368055845631+0.0336562054645563i,0.00917493330737681-0.0120931783946343i,0.00913175749600302-0.0290929274928197i,0.0228873452857096+0.00791710108804496i,-0.0308296053226329+0.00209594591083167i,0.0444715058428441+0.00160597030554037i
-0.036376890405905-0.00264597562213229i,-0.00985453430794239-0.00959572789064722i,0.0137990282832197-0.0149489508588639i,0.0118969698570296+0.0134520029662946i,-0.0199636378212607+0.00698828156491872i,0.0207950792795691+0.00618764491567986i,0.0316867215217218+0.0153061204851799i
-0.0225180761685926-0.00065562258667245i,0.0189467714044211+0.0114736585291355i,0.00189505618356305-0.0180844241326451i,0.0268393257676314+0.00681203829212084i,0.0105781941037302-0.00357778525596561i,-0.0382967464699822+0.00402734486528211i,0.0134144275865656+0.00381710594257483i
0.0199446961710212-0.00214422647193144i,-0.00278372043945985+0.0190232313087864i,-0.0443661028021469-4.33219689840673e-05i,-0.0172610691112381-0.025769371185404i,-0.000322095075039872+0.0132034420798397i,-0.0505662267986711-0.00694869709689277i,-0.00996376240801976-0.0121601845669425i
-0.0107787941311018-0.00317131865118359i,0.0220094242171375+0.031390520744332i,-0.000897310959534092-0.0165630976256215i,0.0144056480477321-0.0231434494146337i,0.0309681828489606+0.00998013292545331i,0.0492103185657137-0.00108160969508569i,0.02517098059345+0.00223230099644239i
0.0582667264108025+0.000931842786822007i,-0.0190377252825657+0.014257293067756i,-0.0249896867313455-0.0249593284422923i,-0.0188646393948916+0.0220105228103594i,0.00652741323965627-0.0131409689759684i,0.0178495276733594+0.00231305302063279i,-0.0520029999722155+0.0016422353321152i
0.00512441017624173+0.00125244130058102i,-0.0125470887464905-0.00647527952098019i,-0.00953854652062087-0.00811640302038732i,0.0564332915751519-0.00180782691088694i,-0.00277831687343611+0.008010525884467i,0.0126984964914883-0.00516549114498595i,0.0353556148722359-0.00135485601333674i
