-0.0125140676887209-0.00545463342156339i,0.0331484235961016-0.0235693356320579i,0.0400650674205411+0.0483787313850722i,-0.00933910845646679-0.0126902298865132i,0.0195723087512617+0.000673431619682768i,0.0383521918744385-0.00425950620270633i,0.0128434068074814-0.0222572320297686i
0.0175864342290517+0.000820535853819283i,0.010855030070076-0.019298855070186i,0.016437716004835+0.0287576340657363i,0.0176821298637001+0.00205522251374712i,-0.0212845114311448-5.76036822273392e-05i,0.031634798004549-0.000709980283342804i,0.0029045066395509-0.00760763722815037i
0.0157188680008728-0.000771977863598226i,-0.00176195863870888+0.00802914039674873i,0.0128837397974648-0.0111298426369205i,-0.0217208250389845+0.00379732636870534i,-3.45984609179074e-06-0.00580349917932983i,0.0426240187053453+0.000739095745835466i,0.0150746755621524+0.00493251358728439i
0.0354263471694751+0.000344082727386419i,-0.0237922068595903+0.00784307642825833i,-0.00243620644694237-0.0127706536845124i,-0.0381075065049919+0.00630987713155893i,-0.024866823963285-0.00613491175894173i,-0.0556788020378245+0.00151030805229813i,0.00428089205610797+0.00761495808774694i
-0.0442270975913643-0.00203544156797565i,-0.0334106922345453-0.0233630197007719i,-0.033429310475556-0.0293274832156073i,0.0345822343121676+0.0137655859617001i,0.023400447907222+0.0205622642061354i,0.0345342374473704-0.000774976646244452i,0.0269288769829267+0.0149751379701347i
-0.0421092503394404+0.00145190193165708i,-0.0153304751821241-0.0251179033128236i,-0.0357172831992823+0.0116024175407977i,0.0522801189931186+0.000311135321553115i,0.00699440638973243+0.0133287699737922i,0.0893112276397021-0.000446661037587197i,-0.0274942287272915+0.00169602229534989i
-0.0383789446153929-0.00502565881929018i,0.0355349500241787+0.00859657437186728i,-0.00391919588550378-0.00281495431365798i,-0.00979914802909032-0.00620612468298389i,0.0610063335796872+3.82849473317031e-05i,-0.00527066250863775-0.00259499550653756i,-0.00823585705848542-0.010492687519225i
-0.0466570983946891+0.000162687092873153i,0.0104779368916618-0.00451985394368917i,-0.011797250967496+0.00360425364454577i,0.00131356784816578-0.00413785675208226i,-0.01427555416492+0.00776426301062274i,0.0788076747153572-0.000481560725600283i,0.0144850940292517-0.00320982485663906i
0.0103450114264222+0.0015081241240248i,0.0107573904580118-0.00669746399669067i,0.0101751888051131+0.0262657026031316i,0.039960553166521-0.0094135114011539i,-0.0722802375641769+0.00796255912651789i,0.0503292322837491+7.75765792083866e-05i,0.00553435472990783-0.0166266955514803i
-0.0186952201482597-5.37460824262123e-05i,-0.021607691771441-0.00383711039421028i,-0.0497120608212126-0.0250709603802635i,-0.0118687822846824+0.00170395095033466i,0.0119227261487747+0.0134292021673055i,-0.0227143038252414+0.0011204944405322i,0.0129173568860852+0.0127442139915934i
0.0742960021835791-0.00236970078920469i,-0.00253076967847753-0.0154034576386734i,-0.00830619853375881+0.0301935454050979i,-0.0207180552636637-0.00761838030641663i,-0.051870885714213+0.00572680617109913i,-0.0644522306131457-4.12285217607461e-05i,-0.00124604319739024-0.0158704796624293i
0.00162142848077146+0.00460873949020331i,-0.0266610134009717+0.0278147586458037i,-0.00831927662117531-0.0516171362594324i,-0.00833817658397866+0.0125090634708618i,-0.0250349844274215-0.00314558090762818i,0.0166049820922509+0.00317215409537964i,0.03153558194006+0.0255238107685235i
